Track Name,,Line name,1150122CHLZLDN,Report Name,Wear_right,Operator,
Starting Km,110.600,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.23, Measurement Time, 00:51:49

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
1,110.599750,10.3,0.0,6.1,-14.8,
2,110.599500,0.7,0.0,0.3,0.6,
3,110.599250,0.9,0.1,0.5,0.7,
4,110.599000,1.2,0.7,1.0,1.2,
5,110.598750,0.9,0.1,0.5,0.7,
6,110.598500,0.9,0.1,0.5,0.7,
7,110.598250,0.9,0.2,0.6,0.8,
8,110.598000,0.9,0.0,0.4,0.6,
9,110.597750,0.9,0.0,0.4,0.5,
10,110.597500,0.9,0.0,0.4,0.6,
11,110.597250,1.0,0.1,0.6,0.7,
12,110.597000,0.9,0.1,0.6,0.7,
13,110.596750,0.9,0.2,0.6,0.7,
14,110.596500,1.0,0.0,0.4,0.5,
15,110.596250,1.0,0.0,0.2,0.3,
16,110.596000,1.1,0.0,0.4,0.6,
17,110.595750,1.2,0.0,0.4,0.4,
18,110.595500,1.0,0.3,0.7,0.8,
19,110.595250,1.0,0.8,1.1,1.2,
20,110.595000,0.8,0.3,0.7,0.8,
21,110.594750,0.7,0.5,0.8,0.9,
22,110.594500,0.7,0.5,0.8,1.0,
23,110.594250,0.7,0.6,0.9,1.1,
24,110.594000,0.7,0.6,0.9,1.1,
25,110.593750,0.6,0.3,0.6,0.9,
26,110.593500,0.7,0.4,0.6,0.9,
27,110.593250,0.6,0.4,0.6,0.9,
28,110.593000,0.5,0.2,0.5,0.8,
29,110.592750,0.6,0.2,0.4,0.7,
30,110.592500,0.6,0.3,0.6,0.8,
31,110.592250,0.7,0.4,0.6,0.9,
32,110.592000,0.6,0.3,0.6,0.8,
33,110.591750,0.7,0.3,0.5,0.8,
34,110.591500,0.8,0.5,0.8,1.0,
35,110.591250,0.7,0.2,0.4,0.8,
36,110.591000,0.6,0.1,0.4,0.6,
37,110.590750,0.8,0.6,0.8,1.0,
38,110.590500,0.6,0.3,0.5,0.8,
39,110.590250,0.7,0.3,0.5,0.8,
40,110.590000,1.0,0.8,1.0,1.2,
41,110.589750,0.8,0.6,0.8,1.1,
42,110.589500,0.8,0.5,0.7,1.0,
43,110.589250,0.8,0.6,0.9,1.1,
44,110.589000,0.7,0.5,0.8,1.0,
45,110.588750,0.7,0.6,0.9,1.1,
46,110.588500,0.7,0.3,0.6,0.9,
47,110.588250,0.6,0.1,0.4,0.7,
48,110.588000,0.6,0.1,0.4,0.7,
49,110.587750,0.6,0.0,0.2,0.5,
50,110.587500,0.8,0.3,0.5,0.9,
51,110.587250,0.7,0.4,0.6,0.9,
52,110.587000,0.7,0.3,0.6,0.9,
53,110.586750,0.8,0.4,0.6,0.9,
54,110.586500,0.8,0.5,0.7,1.0,
55,110.586250,0.6,0.2,0.4,0.8,
56,110.586000,0.6,0.3,0.6,0.8,
57,110.585750,0.7,0.3,0.7,0.9,
58,110.585500,0.5,0.1,0.4,0.7,
59,110.585250,0.7,0.3,0.5,0.8,
60,110.585000,0.6,0.2,0.4,0.7,
61,110.584750,0.5,0.1,0.4,0.7,
62,110.584500,0.7,0.5,0.7,1.0,
63,110.584250,0.7,0.3,0.5,0.8,
64,110.584000,0.5,0.0,0.1,0.5,
65,110.583750,0.7,0.3,0.6,0.8,
66,110.583500,0.8,0.3,0.5,0.8,
