Track Name,,Line name,1150114XYLDN1,Report Name,Wear_right,Operator,
Starting Km,100.971,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 02:15:28

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
128,100.939000,0.2,0.6,1.4,0.8,
129,100.938750,0.4,0.6,1.4,0.9,
130,100.938500,1.5,0.4,1.6,0.8,
131,100.938250,1.1,1.0,1.8,1.2,
132,100.938000,0.2,0.9,1.6,1.0,
133,100.937750,1.0,0.5,1.5,0.8,
134,100.937500,1.1,0.4,1.4,0.8,
135,100.937250,0.8,0.5,1.4,0.8,
136,100.937000,0.8,0.3,1.3,0.7,
137,100.936750,0.1,0.7,1.4,0.8,
138,100.936500,0.0,0.6,1.4,0.9,
139,100.936250,0.2,0.3,1.2,0.6,
140,100.936000,0.6,0.5,1.4,0.8,
141,100.935750,0.8,0.3,1.4,0.7,
142,100.935500,0.2,0.4,1.4,0.6,
143,100.935250,0.8,0.9,1.7,1.0,
144,100.935000,0.5,0.8,1.7,0.9,
145,100.934750,1.5,0.2,1.4,0.6,
146,100.934500,0.4,0.6,1.5,0.8,
147,100.934250,0.6,0.6,1.6,0.8,
148,100.934000,1.3,0.3,1.5,0.7,
149,100.933750,0.8,0.6,1.7,0.8,
150,100.933500,1.0,0.8,1.8,1.0,
151,100.933250,1.1,0.9,2.0,1.1,
152,100.933000,0.9,0.7,1.7,0.9,
153,100.932750,1.3,0.7,1.8,1.0,
154,100.932500,1.6,0.4,1.6,0.8,
155,100.932250,1.2,0.7,1.8,1.0,
156,100.932000,0.7,0.7,1.7,0.9,
157,100.931750,1.6,0.8,2.0,1.1,
158,100.931500,1.0,0.5,1.5,0.9,
159,100.931250,0.7,0.5,1.4,0.9,
160,100.931000,1.1,0.4,1.5,0.9,
161,100.930750,0.2,0.6,1.4,0.9,
162,100.930500,0.9,0.3,1.2,0.9,
163,100.930250,0.7,0.0,1.0,0.4,
164,100.930000,0.0,0.4,1.2,0.8,
165,100.929750,0.9,0.4,1.4,0.9,
166,100.929500,1.2,0.3,1.3,0.8,
167,100.929250,0.6,0.1,1.1,0.7,
168,100.929000,0.0,0.3,1.2,0.7,
169,100.928750,0.2,0.0,1.1,0.4,
170,100.928500,1.4,0.3,1.4,0.8,
171,100.928250,1.4,0.4,1.5,0.9,
172,100.928000,1.3,0.2,1.4,0.8,
173,100.927750,0.3,0.7,1.6,1.0,
174,100.927500,0.0,0.7,1.5,1.0,
175,100.927250,1.3,0.8,1.8,1.1,
176,100.927000,0.9,1.0,1.8,1.2,
177,100.926750,1.3,0.7,1.7,1.0,
178,100.926500,0.8,0.9,1.8,1.0,
179,100.926250,1.2,0.8,1.8,1.0,
180,100.926000,1.6,0.6,1.7,0.9,
181,100.925750,1.5,0.7,1.8,0.9,
182,100.925500,1.1,0.7,1.8,0.8,
183,100.925250,0.4,1.3,1.9,1.3,
184,100.925000,0.5,1.1,1.8,1.2,
185,100.924750,0.3,1.0,1.6,1.0,
186,100.924500,0.0,1.2,1.7,1.1,
187,100.924250,0.4,1.0,1.6,1.0,
188,100.924000,0.2,0.8,1.4,0.9,
189,100.923750,1.1,0.8,1.7,1.1,
190,100.923500,1.3,1.2,2.0,1.5,
191,100.923250,1.0,0.4,1.4,0.8,
192,100.923000,1.3,0.1,1.2,0.6,
