Track Name,,Line name,1150122CHLZLDN,Report Name,Wear_right,Operator,
Starting Km,100.290,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.23, Measurement Time, 02:17:46

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
128,100.258000,2.7,0.8,2.5,1.2,
129,100.257750,2.7,0.7,2.7,1.1,
130,100.257500,2.8,0.7,2.8,1.1,
131,100.257250,2.8,0.8,3.0,1.2,
132,100.257000,2.8,0.5,3.1,1.1,
133,100.256750,3.0,0.7,3.4,1.3,
134,100.256500,2.9,0.7,3.6,1.4,
135,100.256250,2.9,0.4,3.5,1.1,
136,100.256000,2.8,0.4,3.5,1.1,
137,100.255750,3.0,0.9,4.0,1.5,
138,100.255500,2.8,0.5,3.8,1.2,
139,100.255250,2.8,0.5,4.0,1.1,
140,100.255000,3.0,1.0,4.4,1.2,
141,100.254750,3.0,1.0,4.4,1.1,
142,100.254500,3.1,1.4,4.7,1.2,
143,100.254250,2.9,1.3,4.5,1.1,
144,100.254000,2.9,1.4,4.5,1.1,
145,100.253750,2.9,1.6,4.6,1.1,
146,100.253500,3.0,1.4,4.7,1.3,
147,100.253250,2.8,1.2,4.4,1.1,
148,100.253000,2.8,1.0,4.3,1.1,
149,100.252750,2.7,1.0,4.2,1.1,
150,100.252500,2.8,0.8,4.1,0.9,
151,100.252250,2.7,0.6,3.9,0.9,
152,100.252000,2.7,0.3,3.6,0.8,
153,100.251750,2.7,0.1,3.6,0.8,
154,100.251500,2.6,0.0,3.1,0.5,
155,100.251250,2.7,0.1,3.1,0.6,
156,100.251000,2.9,0.2,3.3,0.8,
157,100.250750,3.0,0.3,3.4,0.8,
158,100.250500,3.0,0.4,3.1,0.9,
159,100.250250,2.9,0.2,2.8,0.7,
160,100.250000,2.8,0.1,2.6,0.6,
161,100.249750,2.9,0.4,2.7,0.9,
162,100.249500,2.8,0.0,2.6,0.6,
163,100.249250,2.7,0.0,2.6,0.6,
164,100.249000,2.6,0.0,2.5,0.5,
165,100.248750,2.7,0.0,2.3,0.4,
166,100.248500,2.6,0.0,2.3,0.4,
167,100.248250,2.4,0.0,2.0,0.2,
168,100.248000,2.7,0.0,2.2,0.3,
169,100.247750,2.7,0.0,2.1,0.4,
170,100.247500,2.5,0.0,1.7,0.3,
171,100.247250,2.4,0.0,1.8,0.2,
172,100.247000,2.4,0.0,1.4,0.2,
173,100.246750,2.4,0.0,1.3,0.3,
174,100.246500,2.3,0.0,1.3,0.4,
175,100.246250,2.5,0.0,1.3,0.5,
176,100.246000,2.3,0.0,1.2,0.4,
177,100.245750,2.5,0.1,1.6,0.6,
178,100.245500,2.7,0.2,2.0,0.8,
179,100.245250,2.7,0.1,2.2,0.8,
180,100.245000,2.8,0.2,2.4,0.9,
181,100.244750,2.7,0.2,2.7,0.8,
182,100.244500,2.9,0.3,2.6,1.1,
183,100.244250,2.8,0.0,2.5,0.8,
184,100.244000,2.7,0.0,2.7,0.7,
185,100.243750,2.7,0.0,2.8,0.8,
186,100.243500,2.5,0.0,2.7,0.6,
187,100.243250,2.7,0.0,2.6,0.7,
188,100.243000,2.7,0.0,2.6,0.7,
189,100.242750,2.7,0.0,2.6,0.5,
190,100.242500,2.8,0.3,2.7,0.9,
191,100.242250,2.5,0.1,2.4,0.7,
192,100.242000,2.8,0.2,2.8,0.9,
193,100.241750,2.8,0.1,2.8,0.8,
194,100.241500,2.8,0.0,3.2,0.8,
195,100.241250,3.2,0.2,3.4,0.7,
196,100.241000,2.6,0.0,2.7,0.2,
197,100.240750,2.3,0.0,2.6,0.4,
198,100.240500,2.0,0.0,2.4,0.0,
199,100.240250,2.1,0.0,2.6,0.1,
200,100.240000,2.2,0.0,2.7,0.2,
201,100.239750,2.0,0.0,2.5,-0.0,
202,100.239500,2.1,0.0,2.6,4.3,
203,100.239250,2.2,0.0,3.0,0.6,
204,100.239000,2.1,0.0,2.8,0.2,
205,100.238750,2.1,0.0,2.7,0.1,
206,100.238500,2.0,0.0,2.7,0.3,
207,100.238250,2.0,0.0,2.5,-0.0,
208,100.238000,2.0,0.0,2.5,0.0,
209,100.237750,1.7,0.0,2.1,-0.2,
210,100.237500,1.7,0.0,2.2,-0.2,
211,100.237250,1.9,0.0,2.3,0.0,
212,100.237000,1.8,0.0,2.2,0.2,
213,100.236750,1.9,0.0,2.1,0.0,
214,100.236500,1.9,0.0,2.1,0.1,
215,100.236250,1.8,0.0,1.9,0.1,
216,100.236000,1.7,0.0,1.7,-0.1,
217,100.235750,1.9,0.0,1.8,0.1,
218,100.235500,1.6,0.0,1.4,-0.1,
219,100.235250,1.6,0.0,1.3,-0.2,
220,100.235000,1.8,0.0,1.5,0.0,
221,100.234750,1.8,0.0,1.6,0.4,
222,100.234500,1.8,0.0,1.3,-0.1,
223,100.234250,1.8,0.0,1.3,-0.1,
224,100.234000,1.9,0.0,1.5,0.2,
225,100.233750,2.1,0.0,1.7,0.0,
226,100.233500,2.1,0.0,1.7,0.0,
227,100.233250,2.0,0.0,1.8,0.3,
228,100.233000,2.1,0.0,1.8,0.0,
229,100.232750,2.1,0.0,2.0,0.1,
230,100.232500,2.2,0.0,2.4,0.7,
231,100.232250,2.0,0.0,1.9,-0.0,
232,100.232000,2.0,0.0,2.1,0.1,
233,100.231750,1.9,0.0,1.8,0.3,
234,100.231500,1.9,0.0,1.5,0.1,
235,100.231250,1.8,0.0,1.4,0.1,
236,100.231000,1.7,0.0,1.3,0.3,
237,100.230750,1.6,0.0,1.1,-0.1,
238,100.230500,1.7,0.0,1.1,-0.1,
239,100.230250,1.4,0.0,0.9,-0.1,
240,100.230000,1.8,0.0,1.4,0.2,
241,100.229750,1.8,0.0,1.5,0.2,
242,100.229500,1.9,0.6,1.8,0.9,
243,100.229250,1.7,0.0,1.2,0.4,
244,100.229000,2.6,0.0,1.9,0.4,
245,100.228750,2.3,0.1,1.6,0.6,
246,100.228500,2.4,0.0,1.9,0.3,
247,100.228250,2.5,0.0,2.1,0.5,
248,100.228000,2.7,0.0,2.3,0.4,
249,100.227750,2.6,0.0,2.6,0.4,
250,100.227500,2.8,0.0,2.7,0.5,
251,100.227250,2.8,0.0,2.8,0.5,
252,100.227000,2.9,0.0,3.0,0.6,
253,100.226750,2.9,0.0,3.2,0.7,
254,100.226500,2.9,0.0,3.2,0.7,
255,100.226250,2.9,0.0,3.2,0.6,
256,100.226000,3.0,0.0,3.4,0.6,
257,100.225750,3.4,0.3,4.1,0.9,
258,100.225500,3.1,0.3,3.9,0.7,
259,100.225250,3.1,0.2,3.9,0.6,
260,100.225000,3.0,0.3,3.9,0.7,
261,100.224750,2.8,0.2,3.6,0.5,
262,100.224500,2.9,0.2,3.8,0.6,
263,100.224250,3.1,0.6,4.0,1.0,
264,100.224000,3.1,0.4,3.9,0.8,
265,100.223750,3.0,0.2,3.9,0.6,
266,100.223500,3.1,0.5,4.0,0.8,
267,100.223250,3.0,0.3,3.9,0.7,
268,100.223000,3.0,0.1,3.7,0.6,
269,100.222750,2.9,0.0,3.6,0.6,
270,100.222500,2.9,0.0,3.4,0.5,
271,100.222250,2.8,0.0,3.5,0.6,
272,100.222000,2.6,0.0,3.1,0.4,
273,100.221750,2.6,0.0,2.9,0.6,
274,100.221500,2.8,0.0,3.0,0.7,
