Track Name,,Line name,1141219NKLUP,Report Name,Wear_right,Operator,
Starting Km,100.300,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 01:31:53

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
128,100.332000,7.3,0.3,6.5,0.5,
129,100.332250,6.9,0.2,6.3,0.4,
130,100.332500,6.6,0.6,6.4,0.6,
131,100.332750,6.5,0.6,6.5,0.6,
132,100.333000,6.9,0.3,6.4,0.5,
133,100.333250,6.1,0.5,6.2,0.6,
134,100.333500,6.1,0.5,6.2,0.6,
135,100.333750,6.8,0.4,6.3,0.6,
136,100.334000,6.7,0.8,6.3,0.9,
137,100.334250,6.6,0.4,6.1,0.6,
138,100.334500,6.6,0.5,6.1,0.6,
139,100.334750,6.5,0.5,6.0,0.7,
140,100.335000,6.6,0.5,6.2,0.6,
141,100.335250,6.6,0.4,6.2,0.6,
142,100.335500,6.7,0.8,6.3,0.9,
143,100.335750,6.6,0.5,6.2,0.7,
144,100.336000,6.7,0.5,6.3,0.7,
145,100.336250,6.9,0.5,6.5,0.9,
146,100.336500,6.9,0.2,6.4,0.7,
147,100.336750,7.0,0.4,6.5,0.7,
148,100.337000,7.2,0.8,6.8,1.2,
149,100.337250,7.3,0.6,6.9,0.9,
150,100.337500,7.4,0.5,6.9,0.9,
151,100.337750,7.5,1.0,7.2,1.4,
152,100.338000,7.9,0.6,7.1,0.9,
153,100.338250,6.6,0.3,6.7,0.6,
154,100.338500,7.4,0.9,7.1,1.2,
155,100.338750,7.2,0.4,7.0,0.8,
156,100.339000,6.9,0.4,6.9,0.7,
157,100.339250,7.3,0.9,7.2,1.2,
158,100.339500,7.5,0.3,7.0,0.7,
159,100.339750,6.8,0.4,6.9,0.5,
160,100.340000,7.1,0.4,6.8,0.6,
161,100.340250,7.4,0.5,7.1,0.6,
162,100.340500,7.4,0.5,7.2,0.7,
163,100.340750,7.7,0.9,7.4,1.0,
164,100.341000,7.0,0.5,7.3,0.7,
165,100.341250,7.7,0.6,7.4,0.6,
166,100.341500,7.8,0.9,7.6,1.0,
167,100.341750,7.7,0.5,7.5,0.7,
168,100.342000,8.3,0.0,7.9,0.5,
169,100.342250,8.3,0.7,7.9,0.8,
170,100.342500,8.0,0.4,7.7,0.5,
171,100.342750,7.6,0.3,7.2,0.5,
172,100.343000,7.4,0.6,7.0,0.7,
173,100.343250,6.9,0.4,6.8,0.4,
174,100.343500,6.9,0.3,6.6,0.4,
175,100.343750,7.3,0.6,6.7,0.8,
176,100.344000,6.7,0.2,6.3,0.3,
177,100.344250,6.6,0.2,6.2,0.4,
178,100.344500,6.7,0.5,6.3,0.7,
179,100.344750,6.6,0.2,6.2,0.4,
180,100.345000,6.3,0.1,6.1,0.4,
181,100.345250,6.1,0.5,6.1,0.6,
182,100.345500,6.6,0.0,5.9,0.2,
183,100.345750,6.7,0.0,5.8,0.2,
184,100.346000,6.3,0.1,5.9,0.4,
185,100.346250,6.2,0.1,6.0,0.3,
186,100.346500,6.8,0.0,6.1,0.4,
187,100.346750,6.2,0.6,6.3,0.9,
188,100.347000,6.5,0.2,6.2,0.5,
189,100.347250,6.6,0.2,6.1,0.5,
190,100.347500,6.7,0.4,6.3,0.8,
191,100.347750,6.3,0.4,6.4,0.6,
192,100.348000,6.2,0.2,6.3,0.5,
193,100.348250,6.2,0.6,6.5,0.7,
194,100.348500,6.8,0.3,6.5,0.5,
195,100.348750,7.0,0.3,6.7,0.5,
196,100.349000,7.3,0.8,7.0,1.0,
197,100.349250,7.7,0.2,6.8,0.4,
198,100.349500,7.5,0.3,6.9,0.5,
199,100.349750,7.2,0.8,7.1,0.9,
200,100.350000,7.3,0.2,6.8,0.4,
201,100.350250,6.7,0.4,6.9,0.5,
202,100.350500,7.8,0.7,7.1,0.9,
203,100.350750,6.9,0.4,7.0,0.5,
204,100.351000,7.5,0.3,6.8,0.5,
