Track Name,,Line name,1141219NKLDN,Report Name,Wear_right,Operator,
Starting Km,112.000,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:01:42

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
128,111.968000,1.4,0.0,0.0,0.5,
129,111.967750,1.3,0.1,0.0,0.6,
130,111.967500,1.3,0.0,0.0,0.4,
131,111.967250,1.3,0.0,0.0,0.4,
132,111.967000,1.8,0.0,0.0,0.4,
133,111.966750,1.2,0.0,0.0,0.2,
134,111.966500,1.3,0.0,0.0,0.3,
135,111.966250,1.4,0.0,0.0,0.6,
136,111.966000,1.3,0.0,0.0,0.4,
137,111.965750,1.2,0.0,0.0,0.4,
138,111.965500,1.8,0.1,0.0,0.6,
139,111.965250,1.5,0.1,0.1,0.6,
140,111.965000,1.3,0.0,0.0,0.5,
141,111.964750,1.1,0.0,0.0,0.6,
142,111.964500,1.4,0.0,0.0,0.6,
143,111.964250,1.6,0.0,0.0,0.5,
144,111.964000,1.6,0.0,0.0,0.5,
145,111.963750,1.8,0.0,0.0,0.3,
146,111.963500,1.6,0.0,0.0,0.6,
147,111.963250,1.3,0.0,0.0,0.3,
148,111.963000,1.4,0.0,0.0,0.3,
149,111.962750,1.1,0.0,0.0,0.5,
150,111.962500,1.2,0.0,0.0,0.5,
151,111.962250,1.4,0.0,0.0,0.3,
152,111.962000,2.0,0.0,0.0,0.4,
153,111.961750,1.6,0.0,0.0,0.6,
154,111.961500,1.3,0.0,0.0,0.3,
155,111.961250,1.4,0.0,0.0,0.3,
156,111.961000,1.3,0.0,0.0,0.2,
157,111.960750,1.2,0.0,0.0,0.3,
158,111.960500,1.4,0.0,0.0,0.5,
159,111.960250,1.4,0.1,0.1,0.7,
160,111.960000,1.2,0.0,0.0,0.6,
161,111.959750,1.2,0.0,0.0,0.5,
162,111.959500,1.4,0.0,0.0,0.3,
163,111.959250,1.1,0.1,0.1,0.6,
164,111.959000,0.0,0.0,0.0,0.2,
165,111.958750,1.4,0.2,0.1,0.7,
166,111.958500,2.0,0.0,0.0,0.5,
167,111.958250,1.3,0.1,0.0,0.6,
168,111.958000,1.5,0.2,0.0,0.7,
169,111.957750,1.2,0.3,0.0,0.8,
170,111.957500,1.0,0.2,0.2,0.8,
171,111.957250,1.5,0.1,0.0,0.6,
172,111.957000,1.5,0.0,0.0,0.5,
173,111.956750,1.7,0.0,0.0,0.6,
174,111.956500,1.4,0.1,0.0,0.7,
175,111.956250,1.2,0.0,0.0,0.6,
176,111.956000,1.6,0.0,0.0,0.5,
177,111.955750,1.7,0.1,0.0,0.7,
178,111.955500,1.3,0.0,0.0,0.3,
179,111.955250,1.4,0.0,0.0,0.5,
180,111.955000,1.6,0.0,0.1,0.6,
181,111.954750,1.8,0.2,0.1,0.8,
182,111.954500,1.7,0.2,0.0,0.7,
183,111.954250,1.7,0.3,0.0,0.8,
184,111.954000,1.7,0.1,0.0,0.7,
185,111.953750,1.8,0.1,0.1,0.7,
186,111.953500,1.8,0.3,0.1,0.8,
187,111.953250,1.7,0.0,0.3,0.5,
188,111.953000,2.4,0.1,0.9,0.6,
