Track Name,,Line name,1141219NKLDN1,Report Name,Wear_right,Operator,
Starting Km,105.060,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:43:23

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
128,105.028000,7.1,0.5,7.5,0.5,
129,105.027750,7.3,0.7,7.7,0.6,
130,105.027500,7.6,0.7,7.7,0.6,
131,105.027250,7.1,0.9,7.7,0.7,
132,105.027000,7.5,0.5,7.5,0.5,
133,105.026750,8.0,0.0,7.4,0.3,
134,105.026500,7.9,0.2,7.7,0.4,
135,105.026250,8.5,0.3,7.7,0.5,
136,105.026000,7.7,0.6,7.7,0.7,
137,105.025750,7.2,0.4,7.5,0.6,
138,105.025500,7.6,0.4,7.4,0.6,
139,105.025250,8.0,0.6,7.4,0.8,
140,105.025000,7.2,0.5,7.5,0.5,
141,105.024750,8.1,0.4,7.5,0.6,
142,105.024500,7.6,1.0,7.8,1.1,
143,105.024250,7.6,0.4,7.6,0.6,
144,105.024000,7.5,0.5,7.5,0.6,
145,105.023750,7.7,1.0,7.8,1.0,
146,105.023500,7.3,0.6,7.8,0.7,
147,105.023250,8.2,0.4,7.7,0.6,
148,105.023000,7.2,0.9,7.8,1.1,
149,105.022750,8.2,0.5,7.7,0.7,
150,105.022500,7.0,0.5,7.6,0.6,
151,105.022250,7.2,1.1,7.8,1.1,
152,105.022000,6.9,0.5,7.3,0.7,
153,105.021750,7.5,0.5,7.4,0.7,
154,105.021500,7.7,0.9,7.8,1.2,
155,105.021250,7.8,0.5,7.4,0.9,
156,105.021000,8.0,0.3,7.3,0.8,
157,105.020750,7.5,0.8,7.4,1.0,
158,105.020500,7.9,0.5,7.6,0.8,
159,105.020250,7.6,0.5,7.6,0.6,
160,105.020000,8.1,0.8,7.6,1.0,
161,105.019750,8.2,0.3,7.4,0.6,
162,105.019500,7.8,0.6,7.8,0.8,
163,105.019250,8.5,1.0,8.0,1.1,
164,105.019000,8.2,0.3,7.7,0.6,
165,105.018750,8.1,0.6,7.9,0.8,
166,105.018500,7.8,1.1,8.0,1.1,
167,105.018250,7.5,0.6,7.9,0.7,
168,105.018000,7.4,0.4,7.7,0.5,
169,105.017750,8.0,0.9,8.1,1.0,
170,105.017500,8.2,0.6,8.0,0.7,
171,105.017250,7.5,0.8,8.1,0.7,
172,105.017000,8.2,1.4,8.3,1.4,
173,105.016750,8.1,0.8,7.9,0.9,
174,105.016500,7.7,0.6,7.8,0.6,
175,105.016250,8.6,1.5,8.4,1.5,
176,105.016000,8.4,0.7,7.9,0.9,
177,105.015750,8.4,0.7,7.7,0.8,
178,105.015500,8.2,1.1,8.1,1.3,
179,105.015250,7.7,0.9,7.8,0.8,
180,105.015000,7.9,0.8,7.9,0.8,
181,105.014750,8.5,1.2,7.9,1.3,
182,105.014500,8.6,1.0,8.0,1.1,
183,105.014250,7.3,1.0,7.8,0.9,
184,105.014000,7.4,1.7,8.1,1.5,
185,105.013750,7.1,0.9,7.8,0.8,
186,105.013500,7.8,0.8,7.7,0.9,
187,105.013250,7.8,1.4,7.9,1.4,
188,105.013000,8.3,1.0,7.8,1.1,
189,105.012750,7.5,0.9,7.6,0.9,
190,105.012500,7.1,1.2,7.6,1.1,
191,105.012250,7.5,0.8,7.5,0.9,
192,105.012000,6.7,0.7,7.3,0.7,
193,105.011750,6.7,1.1,7.3,1.1,
194,105.011500,7.3,0.6,7.1,0.9,
195,105.011250,7.8,0.6,7.3,0.9,
196,105.011000,7.7,1.1,7.4,1.3,
197,105.010750,6.5,0.8,7.1,0.9,
198,105.010500,6.5,0.7,7.0,0.8,
199,105.010250,7.6,0.8,7.2,1.1,
200,105.010000,7.4,0.7,7.2,0.9,
201,105.009750,8.0,0.5,7.2,0.8,
202,105.009500,7.2,1.1,7.4,1.1,
203,105.009250,7.3,0.7,7.3,0.7,
204,105.009000,7.3,0.8,7.5,0.8,
205,105.008750,8.0,1.4,7.9,1.4,
206,105.008500,8.1,0.6,7.8,0.7,
207,105.008250,7.4,0.8,7.7,0.8,
208,105.008000,8.2,1.1,7.8,1.3,
209,105.007750,7.8,0.9,7.7,1.1,
210,105.007500,7.8,0.6,7.5,0.8,
211,105.007250,7.2,1.0,7.4,1.1,
212,105.007000,6.6,0.8,7.2,0.8,
213,105.006750,6.7,0.8,7.1,0.8,
214,105.006500,7.0,1.3,7.3,1.3,
215,105.006250,7.5,1.1,7.4,1.1,
216,105.006000,6.6,1.2,7.3,1.0,
217,105.005750,7.2,1.6,7.6,1.5,
218,105.005500,6.7,1.1,7.4,1.0,
219,105.005250,7.5,0.9,7.3,0.9,
220,105.005000,6.7,1.3,7.5,1.1,
221,105.004750,7.3,0.9,7.5,0.9,
222,105.004500,7.6,0.9,7.6,0.9,
223,105.004250,7.0,0.9,7.5,0.9,
224,105.004000,7.7,0.8,7.6,0.8,
225,105.003750,8.2,0.8,7.8,0.9,
226,105.003500,8.4,1.0,7.7,1.1,
227,105.003250,7.2,1.0,7.6,1.0,
228,105.003000,6.7,0.9,7.3,0.8,
229,105.002750,7.6,1.1,7.3,1.2,
230,105.002500,7.4,0.8,7.1,0.9,
231,105.002250,6.3,0.8,6.8,0.8,
232,105.002000,7.3,1.0,6.7,1.1,
233,105.001750,7.2,0.8,6.6,0.8,
234,105.001500,6.5,1.1,6.7,1.0,
235,105.001250,7.2,1.3,6.9,1.2,
236,105.001000,7.1,1.1,6.9,0.9,
237,105.000750,7.1,1.0,7.0,0.8,
238,105.000500,6.4,1.4,7.2,1.2,
239,105.000250,7.5,0.7,7.2,0.8,
240,105.000000,7.8,0.6,7.4,0.7,
241,104.999750,7.1,0.8,7.5,0.8,
242,104.999500,7.3,1.0,7.6,0.9,
243,104.999250,7.5,0.8,7.6,0.8,
244,104.999000,8.0,0.8,7.7,1.0,
245,104.998750,8.1,1.0,7.8,1.0,
246,104.998500,8.2,0.9,7.8,0.9,
247,104.998250,7.5,1.9,8.3,1.6,
248,104.998000,7.9,1.1,7.9,1.1,
249,104.997750,8.0,0.8,7.7,0.9,
250,104.997500,6.9,1.5,7.8,1.4,
251,104.997250,6.8,1.1,7.6,1.0,
252,104.997000,7.4,0.8,7.6,0.9,
253,104.996750,6.8,1.1,7.6,1.1,
254,104.996500,7.9,0.8,7.5,0.9,
255,104.996250,7.4,0.9,7.6,0.9,
256,104.996000,8.3,1.5,8.0,1.5,
257,104.995750,8.0,0.8,7.7,0.9,
258,104.995500,7.3,0.9,7.8,1.0,
259,104.995250,7.3,1.3,7.9,1.3,
260,104.995000,8.2,0.9,8.0,1.0,
261,104.994750,7.7,0.7,8.0,0.8,
262,104.994500,8.4,1.0,8.3,1.2,
263,104.994250,8.3,0.8,8.2,0.9,
264,104.994000,7.5,1.0,8.3,1.0,
265,104.993750,8.1,1.1,8.2,1.2,
266,104.993500,7.6,0.9,8.0,1.0,
267,104.993250,7.0,0.9,7.8,0.8,
268,104.993000,8.0,1.4,8.0,1.3,
269,104.992750,7.7,0.7,7.5,0.7,
270,104.992500,7.6,0.9,7.6,0.9,
271,104.992250,8.1,1.1,7.7,1.1,
272,104.992000,8.0,0.7,7.5,0.8,
273,104.991750,7.1,0.5,7.4,0.5,
274,104.991500,7.4,0.9,7.3,0.8,
275,104.991250,7.0,0.7,7.5,0.6,
276,104.991000,7.3,1.1,7.8,0.8,
277,104.990750,7.5,0.4,7.5,0.4,
278,104.990500,8.2,0.6,8.0,1.3,
279,104.990250,8.4,0.8,7.9,0.9,
280,104.990000,7.7,0.9,7.9,0.9,
281,104.989750,7.3,0.9,7.9,0.9,
282,104.989500,7.1,0.8,7.7,0.8,
283,104.989250,7.0,1.1,7.7,1.0,
284,104.989000,7.5,0.6,7.5,0.7,
285,104.988750,7.8,0.4,7.3,0.5,
286,104.988500,6.9,1.0,7.5,1.0,
287,104.988250,7.2,0.9,7.4,0.8,
288,104.988000,7.8,0.7,7.4,0.7,
289,104.987750,7.7,0.9,7.3,0.9,
290,104.987500,6.6,0.9,7.2,0.8,
291,104.987250,6.9,0.9,7.2,0.8,
292,104.987000,7.0,1.1,7.3,1.0,
293,104.986750,7.9,0.7,7.3,0.8,
294,104.986500,6.9,0.8,7.3,0.7,
295,104.986250,7.4,1.0,7.3,1.0,
296,104.986000,7.6,0.9,7.4,0.9,
297,104.985750,7.0,1.1,7.5,1.0,
298,104.985500,8.0,0.9,7.3,1.0,
299,104.985250,7.6,0.9,7.4,1.0,
300,104.985000,7.1,1.0,7.4,0.9,
301,104.984750,6.7,1.2,7.4,1.2,
302,104.984500,7.6,0.4,7.1,0.6,
303,104.984250,7.5,0.3,7.0,0.5,
304,104.984000,7.0,0.8,7.1,0.8,
305,104.983750,7.3,0.7,7.1,0.8,
306,104.983500,6.5,0.6,7.1,0.7,
307,104.983250,6.7,0.7,7.1,0.8,
308,104.983000,6.7,0.9,7.2,0.8,
309,104.982750,7.2,0.5,7.0,0.6,
310,104.982500,6.4,0.9,7.0,0.9,
311,104.982250,7.2,0.9,7.3,0.9,
