Track Name,,Line name,1141219NKLDN,Report Name,Wear_left,Operator,
Starting Km,112.000,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:01:42

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
125,111.968750,2.8,0.0,1.1,-0.6,
126,111.968500,2.7,0.0,0.9,-0.4,
127,111.968250,2.7,0.0,1.2,0.1,
128,111.968000,2.6,0.0,0.9,-0.4,
129,111.967750,2.5,0.0,0.7,-0.4,
130,111.967500,2.6,0.0,1.0,-0.1,
131,111.967250,2.6,0.0,0.9,-0.5,
132,111.967000,2.7,0.0,1.1,-0.5,
133,111.966750,2.7,0.0,1.3,0.3,
134,111.966500,2.7,0.0,1.0,-0.5,
135,111.966250,2.7,0.0,0.9,-0.6,
136,111.966000,2.7,0.0,1.0,0.2,
137,111.965750,2.7,0.0,0.9,-0.3,
138,111.965500,2.5,0.0,0.7,-0.2,
139,111.965250,2.3,0.0,0.6,-0.2,
140,111.965000,2.0,0.0,0.3,-0.4,
141,111.964750,1.6,0.0,0.0,-0.4,
142,111.964500,2.0,0.0,0.2,-0.0,
143,111.964250,1.7,0.0,0.0,-0.2,
144,111.964000,2.3,0.0,0.5,-0.2,
145,111.963750,2.5,0.0,0.5,0.1,
146,111.963500,2.5,0.0,0.4,-0.6,
147,111.963250,2.8,0.0,0.8,-0.4,
148,111.963000,2.8,0.0,0.9,-0.1,
149,111.962750,2.4,0.0,0.6,-0.3,
150,111.962500,2.4,0.0,0.4,-0.3,
151,111.962250,1.9,0.0,0.3,0.5,
152,111.962000,2.5,0.0,0.6,-0.3,
153,111.961750,3.0,0.0,1.0,-0.1,
154,111.961500,2.9,0.0,1.3,0.3,
155,111.961250,3.0,0.0,1.3,-0.3,
156,111.961000,2.8,0.0,1.1,-0.5,
157,111.960750,2.8,0.0,1.2,-0.3,
158,111.960500,2.9,0.0,1.4,-0.4,
159,111.960250,3.2,0.0,1.6,-0.3,
160,111.960000,2.9,0.0,1.4,-0.3,
161,111.959750,2.8,0.0,1.2,-0.3,
162,111.959500,2.6,0.0,1.0,-0.5,
163,111.959250,2.7,0.0,1.1,-0.5,
164,111.959000,1.4,0.0,0.0,-0.3,
165,111.958750,2.4,0.0,0.9,-0.5,
166,111.958500,2.5,0.0,1.1,-0.2,
167,111.958250,2.7,0.0,1.1,-0.4,
168,111.958000,2.6,0.0,1.2,-0.3,
169,111.957750,2.6,0.0,1.1,0.0,
170,111.957500,2.4,0.0,1.0,-0.3,
