Track Name,,Line name,1150114XYLDN1,Report Name,Wear_left,Operator,
Starting Km,100.971,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 02:15:28

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
128,100.939000,7.5,1.1,6.4,0.5,
129,100.938750,7.3,1.0,6.2,0.4,
130,100.938500,7.3,1.1,6.1,0.6,
131,100.938250,7.2,1.2,6.3,0.6,
132,100.938000,7.2,1.1,6.2,0.5,
133,100.937750,7.1,1.0,6.1,0.5,
134,100.937500,7.2,1.2,6.2,0.7,
135,100.937250,7.3,1.3,6.3,0.6,
136,100.937000,7.3,1.3,6.2,0.7,
137,100.936750,7.2,1.3,6.2,0.7,
138,100.936500,7.3,1.4,6.4,0.7,
139,100.936250,7.5,1.5,6.6,0.9,
140,100.936000,7.6,1.5,6.8,1.1,
141,100.935750,7.6,1.3,6.6,0.9,
142,100.935500,7.2,1.2,6.2,0.9,
143,100.935250,7.0,1.4,6.1,1.1,
144,100.935000,6.9,1.5,6.1,1.2,
145,100.934750,6.8,1.2,5.9,0.8,
146,100.934500,6.9,1.1,6.0,0.8,
147,100.934250,7.2,1.3,6.4,1.0,
148,100.934000,7.5,1.3,6.7,0.9,
149,100.933750,7.7,1.4,6.8,1.1,
150,100.933500,7.8,1.4,6.9,1.1,
151,100.933250,8.0,1.5,7.1,1.1,
152,100.933000,8.0,1.3,7.0,1.0,
153,100.932750,8.0,1.4,7.1,1.1,
154,100.932500,8.0,1.3,7.0,0.9,
155,100.932250,7.9,1.3,7.0,1.1,
156,100.932000,7.9,1.5,7.0,1.2,
157,100.931750,7.9,1.5,6.9,1.2,
158,100.931500,7.7,1.3,6.7,1.0,
159,100.931250,7.7,1.5,6.8,1.1,
160,100.931000,7.6,1.5,6.6,1.2,
161,100.930750,7.7,1.5,6.8,1.2,
162,100.930500,7.7,1.6,6.7,1.2,
163,100.930250,7.6,1.5,6.7,1.1,
164,100.930000,7.5,1.3,6.5,1.0,
165,100.929750,7.5,1.4,6.5,1.1,
166,100.929500,7.3,1.2,6.3,0.9,
167,100.929250,7.4,1.1,6.3,0.9,
168,100.929000,7.4,1.3,6.4,1.1,
169,100.928750,7.2,1.1,6.2,0.8,
170,100.928500,7.2,1.2,6.2,0.9,
171,100.928250,7.3,1.2,6.2,0.9,
172,100.928000,7.5,1.3,6.4,1.0,
173,100.927750,7.5,1.3,6.4,1.0,
174,100.927500,7.5,1.5,6.6,1.1,
175,100.927250,7.4,1.3,6.3,0.9,
176,100.927000,7.3,1.2,6.2,1.0,
177,100.926750,7.2,1.4,6.2,1.1,
178,100.926500,7.2,1.3,6.1,1.0,
179,100.926250,7.1,1.3,6.1,1.1,
180,100.926000,7.0,1.4,6.1,1.2,
181,100.925750,7.0,1.4,6.0,1.1,
182,100.925500,7.0,1.4,6.0,1.2,
183,100.925250,7.0,1.4,6.2,1.1,
184,100.925000,7.1,1.4,6.1,1.1,
185,100.924750,7.1,1.4,6.2,1.0,
186,100.924500,7.0,1.3,6.1,1.0,
187,100.924250,7.1,1.2,6.1,0.9,
188,100.924000,7.2,1.2,6.3,1.0,
189,100.923750,7.5,1.5,6.6,1.2,
190,100.923500,7.8,1.6,6.9,1.2,
191,100.923250,7.7,1.3,6.8,1.0,
192,100.923000,7.7,1.5,6.8,1.0,
193,100.922750,7.8,1.5,6.9,1.1,
194,100.922500,7.8,1.4,6.8,1.1,
195,100.922250,7.7,1.5,6.8,1.1,
196,100.922000,7.5,1.3,6.6,1.0,
197,100.921750,7.7,1.5,6.8,1.1,
198,100.921500,7.5,1.6,6.6,1.2,
199,100.921250,7.8,1.4,6.7,1.0,
200,100.921000,7.6,1.5,6.6,1.2,
201,100.920750,7.7,1.4,6.7,1.0,
202,100.920500,7.6,1.1,6.4,0.8,
203,100.920250,7.6,1.2,6.4,1.0,
204,100.920000,7.6,1.2,6.5,0.9,
205,100.919750,7.8,1.1,6.6,0.8,
206,100.919500,7.8,1.3,6.7,1.1,
207,100.919250,7.9,1.4,6.9,1.0,
208,100.919000,8.0,1.6,6.9,1.2,
209,100.918750,8.1,1.5,7.0,1.0,
210,100.918500,8.2,1.6,7.1,1.1,
211,100.918250,8.7,1.6,7.6,1.5,
212,100.918000,8.8,1.7,7.7,1.4,
213,100.917750,8.1,0.7,7.0,0.6,
214,100.917500,8.1,0.9,7.0,0.6,
215,100.917250,8.1,1.1,7.0,1.0,
216,100.917000,8.1,1.3,7.1,1.1,
217,100.916750,7.8,0.9,6.6,0.7,
218,100.916500,8.0,1.2,7.0,0.9,
219,100.916250,8.1,1.2,7.0,0.9,
220,100.916000,8.2,1.2,7.0,0.8,
221,100.915750,8.4,1.4,7.3,1.0,
222,100.915500,8.5,1.4,7.4,0.9,
223,100.915250,8.6,1.2,7.3,0.8,
224,100.915000,8.6,1.3,7.4,1.0,
225,100.914750,8.8,1.4,7.7,1.0,
226,100.914500,8.6,1.0,7.3,0.7,
227,100.914250,8.7,1.1,7.5,0.9,
228,100.914000,8.8,1.3,7.7,1.0,
229,100.913750,8.6,1.2,7.4,0.8,
