Track Name,,Line name,1141219NKLDN1,Report Name,Wear_left,Operator,
Starting Km,105.060,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:43:23

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
125,105.028750,9.8,0.5,8.9,0.3,
126,105.028500,9.7,0.6,8.8,0.4,
127,105.028250,9.4,0.0,8.4,-0.2,
128,105.028000,9.1,0.0,8.2,-0.2,
129,105.027750,9.4,0.4,8.5,0.3,
130,105.027500,9.5,0.2,8.6,0.1,
131,105.027250,8.9,0.0,7.9,-0.5,
132,105.027000,9.2,0.0,8.2,-0.1,
133,105.026750,9.4,0.0,8.5,-0.0,
134,105.026500,9.1,0.0,8.1,-0.0,
135,105.026250,9.3,0.1,8.4,0.0,
136,105.026000,9.4,0.1,8.3,0.1,
137,105.025750,9.2,0.0,8.2,-0.1,
138,105.025500,9.4,0.3,8.4,0.2,
139,105.025250,9.3,0.1,8.3,-0.0,
140,105.025000,9.3,0.0,8.4,-0.2,
141,105.024750,9.5,0.2,8.4,0.1,
142,105.024500,9.6,0.2,8.6,0.0,
143,105.024250,9.0,0.0,8.1,-0.9,
144,105.024000,9.2,0.0,8.3,-0.4,
145,105.023750,9.5,0.0,8.6,-0.2,
146,105.023500,9.3,0.0,8.3,-0.4,
147,105.023250,9.6,0.5,8.7,0.3,
148,105.023000,9.4,0.0,8.4,-0.2,
149,105.022750,9.3,0.1,8.3,-0.0,
150,105.022500,9.2,0.1,8.3,-0.0,
151,105.022250,9.3,0.1,8.4,0.0,
152,105.022000,9.2,0.0,8.2,-0.2,
153,105.021750,9.3,0.1,8.3,0.1,
154,105.021500,9.3,0.1,8.3,0.1,
155,105.021250,9.1,0.0,8.1,-0.1,
156,105.021000,9.0,0.0,7.9,-0.4,
157,105.020750,9.3,0.0,8.2,-0.2,
158,105.020500,9.0,0.5,8.0,0.5,
159,105.020250,9.1,0.2,8.0,0.2,
160,105.020000,9.0,0.0,7.9,-0.1,
161,105.019750,8.7,0.0,7.6,-0.4,
