Track Name,,Line name,1150122CHLZLDN,Report Name,Wear_left,Operator,
Starting Km,110.600,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.23, Measurement Time, 00:51:49

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
128,110.568000,0.9,0.0,0.4,0.1,
129,110.567750,0.8,0.0,0.3,0.2,
130,110.567500,0.9,0.0,0.6,0.5,
131,110.567250,0.8,0.0,0.6,0.4,
132,110.567000,0.9,0.0,0.6,0.4,
133,110.566750,0.9,0.0,0.5,0.4,
134,110.566500,0.9,0.0,0.5,0.4,
135,110.566250,0.8,0.0,0.3,0.4,
136,110.566000,0.8,0.0,0.6,0.5,
137,110.565750,0.8,0.0,0.4,0.3,
138,110.565500,0.8,0.0,0.5,0.4,
139,110.565250,0.8,0.0,0.6,0.4,
140,110.565000,0.9,0.0,0.7,0.5,
141,110.564750,0.8,0.0,0.5,0.5,
142,110.564500,0.8,0.0,0.6,0.4,
143,110.564250,0.8,0.0,0.4,0.4,
144,110.564000,0.8,0.0,0.5,0.4,
145,110.563750,0.6,0.0,0.0,-0.2,
146,110.563500,1.0,0.1,0.8,0.6,
147,110.563250,0.8,0.2,0.7,0.7,
148,110.563000,0.8,0.1,0.6,0.6,
149,110.562750,0.8,0.0,0.6,0.6,
150,110.562500,0.9,0.1,0.6,0.6,
151,110.562250,0.9,0.2,0.8,0.6,
152,110.562000,0.9,0.1,0.6,0.6,
153,110.561750,0.8,0.1,0.6,0.6,
154,110.561500,0.8,0.1,0.6,0.6,
155,110.561250,0.9,0.1,0.6,0.6,
156,110.561000,0.7,0.0,0.5,0.6,
157,110.560750,0.7,0.0,0.5,0.5,
158,110.560500,0.8,0.1,0.7,0.6,
159,110.560250,0.8,0.2,0.7,0.7,
160,110.560000,0.9,0.3,0.8,0.7,
161,110.559750,0.8,0.2,0.6,0.7,
162,110.559500,0.7,0.0,0.6,0.5,
163,110.559250,0.8,0.1,0.7,0.6,
164,110.559000,0.9,0.2,0.7,0.7,
165,110.558750,0.9,0.1,0.8,0.6,
166,110.558500,0.8,0.0,0.4,0.4,
167,110.558250,0.9,0.1,0.7,0.6,
168,110.558000,1.0,0.1,0.6,0.6,
169,110.557750,1.0,0.4,0.9,0.8,
170,110.557500,0.8,0.1,0.8,0.6,
171,110.557250,0.8,0.2,0.7,0.7,
172,110.557000,0.9,0.3,0.9,0.7,
173,110.556750,0.8,0.1,0.7,0.6,
174,110.556500,0.9,0.2,0.7,0.7,
175,110.556250,0.9,0.2,0.8,0.7,
176,110.556000,1.1,0.5,1.1,0.9,
177,110.555750,1.0,0.2,0.8,0.7,
178,110.555500,0.9,0.1,0.7,0.6,
179,110.555250,0.9,0.2,0.7,0.7,
180,110.555000,1.0,0.3,0.9,0.8,
181,110.554750,1.1,0.4,1.0,0.8,
182,110.554500,0.9,0.2,0.7,0.6,
183,110.554250,0.9,0.2,0.7,0.6,
184,110.554000,1.0,0.3,0.7,0.8,
185,110.553750,0.9,0.2,0.8,0.7,
186,110.553500,0.8,0.1,0.7,0.6,
187,110.553250,0.9,0.2,0.8,0.6,
188,110.553000,0.8,0.1,0.7,0.6,
189,110.552750,0.8,0.0,0.7,0.5,
190,110.552500,0.7,0.0,0.5,0.5,
191,110.552250,0.7,0.0,0.5,0.5,
192,110.552000,0.7,0.0,0.6,0.6,
193,110.551750,0.6,0.0,0.6,0.5,
194,110.551500,0.6,0.0,0.4,0.4,
195,110.551250,0.6,0.0,0.4,0.5,
196,110.551000,0.5,0.0,0.4,0.4,
197,110.550750,0.6,0.0,0.6,0.5,
198,110.550500,0.4,0.0,0.5,0.5,
199,110.550250,0.6,0.1,0.4,0.5,
200,110.550000,0.6,0.4,0.7,0.7,
201,110.549750,1.0,0.4,0.7,0.7,
202,110.549500,0.9,0.3,0.6,0.6,
203,110.549250,0.6,0.0,0.0,-0.1,
204,110.549000,0.7,0.0,0.4,0.5,
205,110.548750,0.7,0.0,0.3,0.5,
206,110.548500,0.7,0.0,0.5,0.5,
207,110.548250,0.6,0.0,0.5,0.5,
