Track Name,,Line name,1150114XYLDN,Report Name,Wear_left,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
128,101.768000,6.2,0.4,4.9,0.4,
129,101.767750,6.3,0.4,5.0,0.5,
130,101.767500,6.2,0.4,5.0,0.4,
131,101.767250,6.4,0.5,5.1,0.5,
132,101.767000,6.4,0.2,5.2,0.3,
133,101.766750,6.6,0.5,5.4,0.5,
134,101.766500,6.6,0.5,5.3,0.4,
135,101.766250,6.6,0.5,5.5,0.4,
136,101.766000,6.5,0.4,5.3,0.3,
137,101.765750,6.7,0.5,5.4,0.4,
138,101.765500,6.6,0.3,5.2,0.4,
139,101.765250,6.7,0.6,5.5,0.6,
140,101.765000,6.5,0.5,5.4,0.4,
141,101.764750,6.5,0.6,5.3,0.5,
142,101.764500,6.5,0.7,5.3,0.5,
143,101.764250,6.4,0.7,5.2,0.5,
144,101.764000,6.3,0.6,5.1,0.4,
145,101.763750,6.1,0.6,5.0,0.5,
146,101.763500,6.1,0.7,5.0,0.6,
147,101.763250,6.0,0.7,4.9,0.5,
148,101.763000,5.8,0.7,4.7,0.6,
149,101.762750,5.7,0.7,4.7,0.5,
150,101.762500,5.7,0.6,4.6,0.4,
151,101.762250,5.8,0.8,4.8,0.6,
152,101.762000,5.8,0.7,4.7,0.4,
153,101.761750,5.8,0.7,4.7,0.5,
154,101.761500,5.8,0.8,4.8,0.6,
155,101.761250,5.8,0.8,4.8,0.5,
156,101.761000,5.9,0.8,4.8,0.6,
157,101.760750,5.7,0.8,4.8,0.5,
158,101.760500,5.6,0.7,4.6,0.5,
159,101.760250,5.6,0.9,4.8,0.6,
160,101.760000,5.5,0.9,4.7,0.7,
161,101.759750,5.6,0.9,4.8,0.6,
162,101.759500,5.7,0.9,4.8,0.8,
163,101.759250,5.5,0.9,4.7,0.6,
164,101.759000,5.7,1.0,4.8,0.7,
165,101.758750,6.0,1.4,5.3,1.0,
166,101.758500,5.7,1.1,4.9,0.7,
167,101.758250,5.8,1.1,5.0,0.7,
168,101.758000,6.1,1.3,5.3,0.9,
169,101.757750,5.9,1.1,5.0,0.7,
170,101.757500,6.1,1.1,5.2,0.7,
171,101.757250,6.3,1.0,5.3,0.8,
172,101.757000,6.1,0.9,5.1,0.7,
173,101.756750,6.3,0.8,5.2,0.6,
174,101.756500,7.0,1.0,6.3,0.9,
175,101.756250,7.6,0.7,6.7,0.8,
176,101.756000,8.0,0.5,6.8,0.7,
177,101.755750,8.1,0.5,6.8,0.6,
178,101.755500,9.8,0.5,8.3,1.0,
179,101.755250,8.7,0.6,7.5,0.9,
180,101.755000,7.6,0.4,6.6,0.7,
181,101.754750,7.0,0.5,6.3,0.8,
182,101.754500,6.5,0.4,5.7,0.8,
183,101.754250,6.2,0.4,5.4,0.7,
184,101.754000,6.0,0.7,5.1,0.9,
185,101.753750,5.9,0.5,5.1,0.7,
186,101.753500,6.1,0.5,4.9,0.7,
187,101.753250,6.2,0.9,5.1,0.9,
188,101.753000,6.3,0.7,5.1,0.7,
189,101.752750,6.2,0.7,5.2,0.8,
190,101.752500,6.2,0.8,5.1,0.8,
191,101.752250,6.0,0.4,4.8,0.6,
192,101.752000,6.1,0.4,4.9,0.6,
193,101.751750,6.2,0.8,5.2,0.9,
194,101.751500,6.3,0.7,5.2,0.8,
195,101.751250,6.3,0.7,5.1,0.7,
196,101.751000,6.2,0.4,5.0,0.4,
197,101.750750,6.5,0.6,5.3,0.6,
198,101.750500,6.6,0.8,5.5,0.8,
199,101.750250,6.6,0.7,5.5,0.7,
200,101.750000,6.6,0.7,5.5,0.7,
201,101.749750,6.5,0.5,5.3,0.5,
202,101.749500,6.6,0.7,5.5,0.7,
203,101.749250,6.6,0.7,5.5,0.8,
204,101.749000,6.5,0.6,5.4,0.6,
205,101.748750,6.5,0.5,5.3,0.5,
206,101.748500,6.6,0.6,5.5,0.6,
207,101.748250,6.5,0.4,5.4,0.4,
208,101.748000,6.6,0.5,5.5,0.4,
209,101.747750,6.5,0.4,5.4,0.4,
210,101.747500,6.5,0.4,5.5,0.4,
211,101.747250,6.6,0.7,5.7,0.6,
212,101.747000,6.7,0.7,5.6,0.5,
213,101.746750,6.5,0.5,5.5,0.4,
214,101.746500,6.7,0.7,5.6,0.5,
215,101.746250,6.5,0.6,5.6,0.6,
216,101.746000,6.6,0.8,5.7,0.6,
217,101.745750,6.5,0.8,5.6,0.6,
218,101.745500,6.6,0.7,5.7,0.6,
219,101.745250,6.4,0.6,5.5,0.5,
220,101.745000,6.5,1.0,5.6,0.8,
221,101.744750,6.5,0.8,5.6,0.7,
222,101.744500,6.4,0.7,5.5,0.5,
223,101.744250,6.5,0.7,5.5,0.6,
224,101.744000,6.6,0.7,5.6,0.6,
225,101.743750,6.7,0.8,5.6,0.7,
226,101.743500,6.7,0.7,5.7,0.6,
227,101.743250,6.7,0.9,5.7,0.8,
228,101.743000,6.6,0.6,5.6,0.6,
229,101.742750,6.5,0.7,5.4,0.7,
230,101.742500,6.5,0.6,5.5,0.6,
231,101.742250,6.4,0.5,5.3,0.5,
232,101.742000,6.7,0.7,5.5,0.6,
233,101.741750,6.6,0.7,5.5,0.7,
234,101.741500,6.5,0.4,5.5,0.4,
235,101.741250,6.7,0.6,5.6,0.6,
236,101.741000,6.8,0.6,5.7,0.6,
237,101.740750,6.7,0.5,5.7,0.5,
238,101.740500,7.0,0.7,5.8,0.7,
239,101.740250,6.8,0.5,5.6,0.6,
240,101.740000,6.8,0.5,5.7,0.6,
241,101.739750,6.9,0.7,5.9,0.7,
242,101.739500,7.0,0.5,6.0,0.5,
243,101.739250,6.9,0.4,5.9,0.3,
244,101.739000,7.4,0.7,6.3,0.7,
245,101.738750,7.4,0.6,6.4,0.5,
246,101.738500,7.6,0.4,6.5,0.3,
247,101.738250,8.2,0.4,7.0,0.4,
248,101.738000,8.7,0.5,7.5,0.4,
249,101.737750,9.2,0.4,7.9,0.4,
250,101.737500,10.1,0.4,8.7,0.6,
251,101.737250,10.4,1.5,9.3,1.4,
252,101.737000,10.0,1.3,8.9,1.1,
253,101.736750,9.4,1.0,8.2,0.7,
254,101.736500,9.1,1.0,7.8,0.8,
255,101.736250,8.5,0.9,7.2,0.7,
256,101.736000,8.4,1.0,7.1,0.8,
257,101.735750,8.1,0.9,6.8,0.7,
258,101.735500,8.0,0.9,6.6,0.7,
259,101.735250,7.8,0.9,6.6,0.8,
260,101.735000,7.7,0.9,6.4,0.9,
261,101.734750,7.5,0.5,6.2,0.5,
262,101.734500,7.7,0.8,6.4,0.8,
263,101.734250,7.7,0.8,6.4,0.7,
264,101.734000,7.6,0.6,6.3,0.5,
265,101.733750,7.7,0.6,6.4,0.6,
266,101.733500,7.9,0.8,6.6,0.8,
267,101.733250,7.7,0.3,6.3,0.4,
268,101.733000,7.9,0.8,6.6,0.8,
269,101.732750,7.9,0.8,6.6,0.7,
270,101.732500,7.9,0.8,6.7,0.7,
271,101.732250,7.9,0.8,6.7,0.8,
272,101.732000,7.9,1.0,6.8,0.9,
273,101.731750,8.2,1.0,7.0,0.9,
274,101.731500,8.2,1.1,7.0,1.0,
275,101.731250,8.1,0.8,6.8,0.8,
276,101.731000,8.1,0.7,6.9,0.7,
277,101.730750,8.3,1.0,7.1,0.9,
278,101.730500,8.4,1.2,7.3,1.0,
279,101.730250,8.5,1.3,7.4,1.1,
280,101.730000,8.4,1.1,7.3,1.0,
281,101.729750,8.6,1.3,7.5,1.0,
282,101.729500,8.5,1.1,7.4,0.9,
283,101.729250,8.4,1.1,7.3,0.9,
284,101.729000,8.2,1.0,7.1,0.9,
285,101.728750,8.2,1.0,7.0,0.9,
286,101.728500,8.1,1.3,7.0,1.1,
287,101.728250,8.0,1.4,6.9,1.2,
288,101.728000,7.9,1.2,6.7,1.1,
289,101.727750,7.7,1.2,6.7,1.1,
290,101.727500,7.8,1.2,6.7,1.0,
291,101.727250,7.7,1.2,6.7,1.1,
292,101.727000,7.7,1.3,6.6,1.1,
293,101.726750,7.5,0.9,6.4,0.8,
294,101.726500,7.4,0.9,6.3,0.8,
295,101.726250,7.4,1.1,6.3,0.9,
296,101.726000,7.4,1.0,6.4,0.8,
297,101.725750,7.4,1.2,6.5,1.0,
298,101.725500,7.3,1.1,6.3,1.0,
299,101.725250,7.3,1.0,6.2,0.8,
300,101.725000,7.3,0.8,6.2,0.7,
301,101.724750,7.3,0.9,6.3,0.7,
302,101.724500,7.2,0.7,6.1,0.5,
303,101.724250,7.2,0.8,6.2,0.6,
304,101.724000,7.0,1.0,6.0,0.8,
305,101.723750,7.1,0.8,6.0,0.7,
306,101.723500,7.1,0.9,5.9,0.8,
307,101.723250,7.1,0.8,6.0,0.7,
308,101.723000,6.9,0.6,5.8,0.5,
309,101.722750,7.3,1.0,6.2,0.8,
310,101.722500,7.5,1.1,6.4,0.9,
311,101.722250,7.5,0.9,6.3,0.7,
312,101.722000,7.5,0.9,6.3,0.8,
313,101.721750,7.5,1.1,6.5,0.8,
314,101.721500,7.7,1.0,6.6,0.8,
315,101.721250,7.7,0.9,6.6,0.8,
316,101.721000,8.0,1.0,6.9,0.9,
317,101.720750,8.3,1.0,7.3,0.9,
318,101.720500,8.6,1.0,7.4,0.8,
319,101.720250,9.1,1.1,8.0,0.9,
320,101.720000,9.4,0.7,8.3,0.5,
321,101.719750,9.9,0.8,8.8,0.6,
322,101.719500,10.3,0.7,9.2,0.7,
323,101.719250,10.0,1.0,9.0,0.9,
324,101.719000,9.8,0.8,8.6,0.8,
325,101.718750,9.4,1.1,8.3,0.9,
326,101.718500,9.1,1.1,8.1,0.9,
327,101.718250,8.7,1.1,7.7,0.9,
328,101.718000,8.5,1.2,7.4,0.9,
329,101.717750,8.3,1.0,7.1,0.8,
330,101.717500,8.0,1.1,6.9,0.9,
331,101.717250,7.8,1.2,6.8,0.9,
332,101.717000,7.7,1.0,6.5,0.8,
333,101.716750,7.5,1.1,6.4,0.9,
334,101.716500,7.6,1.5,6.6,1.2,
335,101.716250,7.5,1.3,6.5,1.0,
336,101.716000,7.5,1.2,6.4,1.0,
337,101.715750,7.5,1.2,6.4,1.0,
338,101.715500,7.6,1.0,6.4,0.8,
339,101.715250,7.5,0.9,6.4,0.8,
340,101.715000,7.5,1.0,6.3,0.8,
341,101.714750,7.7,1.1,6.7,1.0,
342,101.714500,7.6,1.1,6.6,0.9,
343,101.714250,7.7,1.2,6.6,0.9,
344,101.714000,7.8,1.1,6.7,0.9,
345,101.713750,7.7,1.3,6.7,1.0,
346,101.713500,7.7,1.3,6.7,1.0,
347,101.713250,7.7,1.1,6.6,1.0,
348,101.713000,7.5,1.0,6.5,0.9,
349,101.712750,7.6,1.3,6.7,1.0,
350,101.712500,7.7,1.3,6.8,1.1,
351,101.712250,7.6,1.2,6.7,0.9,
352,101.712000,7.7,1.4,6.9,1.1,
353,101.711750,7.8,1.1,6.8,0.9,
354,101.711500,8.0,1.4,7.1,1.1,
355,101.711250,8.2,1.5,7.3,1.1,
356,101.711000,8.2,1.3,7.3,1.0,
357,101.710750,8.2,1.1,7.2,0.9,
358,101.710500,8.3,1.2,7.3,0.9,
359,101.710250,8.2,0.9,7.1,0.8,
360,101.710000,8.1,1.2,7.2,1.0,
361,101.709750,8.0,1.1,7.1,0.9,
362,101.709500,8.1,1.2,7.2,1.0,
363,101.709250,7.9,1.2,7.0,1.0,
364,101.709000,7.8,1.1,6.8,0.9,
365,101.708750,7.7,1.0,6.8,0.9,
366,101.708500,7.7,1.1,6.7,0.9,
367,101.708250,7.5,1.1,6.5,0.9,
368,101.708000,7.6,1.0,6.5,0.9,
369,101.707750,7.4,0.9,6.3,0.7,
370,101.707500,7.5,0.9,6.3,0.8,
371,101.707250,7.3,0.7,6.2,0.7,
372,101.707000,7.5,1.1,6.5,0.9,
373,101.706750,7.5,0.9,6.4,0.8,
374,101.706500,7.4,0.7,6.4,0.6,
375,101.706250,7.6,0.7,6.5,0.7,
376,101.706000,7.6,0.8,6.6,0.7,
377,101.705750,7.5,0.5,6.3,0.5,
378,101.705500,7.7,0.7,6.5,0.7,
379,101.705250,7.7,0.7,6.5,0.7,
380,101.705000,7.8,0.7,6.6,0.7,
381,101.704750,8.0,1.0,7.0,0.9,
382,101.704500,8.3,0.9,7.2,0.9,
383,101.704250,8.3,0.8,7.2,0.7,
384,101.704000,8.6,1.0,7.4,0.8,
385,101.703750,8.5,0.9,7.4,0.7,
386,101.703500,8.5,0.8,7.2,0.6,
387,101.703250,8.4,0.9,7.4,0.8,
388,101.703000,8.7,1.1,7.6,0.9,
389,101.702750,8.9,1.1,7.8,0.8,
390,101.702500,9.2,1.2,8.1,0.9,
391,101.702250,9.5,1.1,8.4,0.8,
392,101.702000,10.0,0.9,8.9,0.7,
393,101.701750,10.2,1.1,9.2,0.8,
394,101.701500,10.9,1.1,9.7,1.0,
395,101.701250,10.5,1.3,9.7,1.0,
396,101.701000,10.5,1.1,9.4,0.7,
397,101.700750,9.8,1.1,9.2,0.5,
398,101.700500,9.7,1.0,8.8,0.6,
399,101.700250,9.2,0.8,8.2,0.5,
