Track Name,,Line name,1141219NKLUP,Report Name,Wear_left,Operator,
Starting Km,100.300,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 01:31:53

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
128,100.332000,7.3,0.3,6.0,0.7,
129,100.332250,7.2,0.1,6.0,0.5,
130,100.332500,7.2,0.0,6.0,0.4,
131,100.332750,7.3,0.1,6.2,0.5,
132,100.333000,7.4,0.3,6.2,0.6,
133,100.333250,7.5,0.2,6.3,0.4,
134,100.333500,7.3,0.1,6.1,0.5,
135,100.333750,7.6,0.3,6.5,0.7,
136,100.334000,7.5,0.1,6.3,0.5,
137,100.334250,7.6,0.1,6.5,0.5,
138,100.334500,7.3,0.0,6.4,0.4,
139,100.334750,7.5,0.1,6.5,0.6,
140,100.335000,7.3,0.2,6.3,0.5,
141,100.335250,7.4,0.3,6.4,0.7,
142,100.335500,7.4,0.2,6.5,0.5,
143,100.335750,7.3,0.0,6.4,0.4,
144,100.336000,7.4,0.2,6.4,0.6,
145,100.336250,7.5,0.2,6.4,0.6,
146,100.336500,7.4,0.1,6.3,0.6,
147,100.336750,7.5,0.1,6.4,0.5,
148,100.337000,7.6,0.1,6.4,0.5,
149,100.337250,7.5,0.3,6.5,0.5,
150,100.337500,7.5,0.0,6.3,0.3,
151,100.337750,7.6,0.1,6.3,0.4,
152,100.338000,7.6,0.1,6.4,0.2,
153,100.338250,7.8,0.1,6.5,0.3,
154,100.338500,8.0,0.3,6.8,0.4,
155,100.338750,8.1,0.1,6.9,1.0,
156,100.339000,7.9,0.3,6.7,0.5,
157,100.339250,7.6,0.3,6.5,0.5,
158,100.339500,7.5,0.4,6.3,0.7,
159,100.339750,7.1,0.3,6.0,0.5,
160,100.340000,7.0,0.2,5.7,0.5,
161,100.340250,7.2,0.5,6.0,0.7,
162,100.340500,7.0,0.2,6.0,0.8,
163,100.340750,6.6,0.2,5.5,0.5,
164,100.341000,6.5,0.1,5.5,0.4,
165,100.341250,6.6,0.2,5.6,0.5,
166,100.341500,6.7,0.0,5.6,0.5,
167,100.341750,6.7,0.2,5.7,0.6,
168,100.342000,6.7,0.2,5.6,0.5,
169,100.342250,6.9,0.3,5.8,0.6,
170,100.342500,7.0,0.4,6.0,0.8,
171,100.342750,7.2,0.4,6.1,0.7,
172,100.343000,7.3,0.3,6.2,0.7,
173,100.343250,7.2,0.3,6.2,0.6,
174,100.343500,7.2,0.2,6.3,0.7,
175,100.343750,7.3,0.4,6.3,0.7,
176,100.344000,7.1,0.3,6.2,0.6,
177,100.344250,7.1,0.3,6.2,0.5,
178,100.344500,7.1,0.1,6.3,0.5,
179,100.344750,7.1,0.4,6.2,0.6,
180,100.345000,7.1,0.4,6.3,0.6,
181,100.345250,7.3,0.4,6.5,0.6,
182,100.345500,7.4,0.6,6.6,0.8,
183,100.345750,7.5,0.5,6.7,0.7,
184,100.346000,7.4,0.4,6.7,0.6,
185,100.346250,7.5,0.6,6.7,0.7,
186,100.346500,7.4,0.4,6.7,0.6,
187,100.346750,7.4,0.4,6.4,0.5,
188,100.347000,7.3,0.4,6.4,0.5,
189,100.347250,7.2,0.3,6.2,0.6,
190,100.347500,7.0,0.1,6.0,0.4,
191,100.347750,7.2,0.6,6.2,0.8,
192,100.348000,7.1,0.2,6.1,0.5,
193,100.348250,7.0,0.4,6.0,0.7,
194,100.348500,7.0,0.5,6.1,0.7,
195,100.348750,6.8,0.3,5.8,0.6,
196,100.349000,6.8,0.1,5.7,0.5,
197,100.349250,6.8,0.0,5.7,0.3,
198,100.349500,6.9,0.0,5.8,0.3,
199,100.349750,7.1,0.1,6.0,0.4,
200,100.350000,7.2,0.2,6.3,0.4,
201,100.350250,7.2,0.1,6.2,0.5,
202,100.350500,7.2,0.1,6.2,0.5,
203,100.350750,7.2,0.3,6.3,0.6,
204,100.351000,7.3,0.3,6.3,0.7,
205,100.351250,7.0,0.2,6.0,0.6,
206,100.351500,6.9,0.2,5.9,0.6,
207,100.351750,6.8,0.2,5.9,0.5,
208,100.352000,6.9,0.2,6.0,0.5,
209,100.352250,6.7,0.2,5.8,0.5,
210,100.352500,6.7,0.2,5.7,0.5,
211,100.352750,6.5,0.0,5.5,0.5,
212,100.353000,6.6,0.4,5.7,0.7,
213,100.353250,6.0,0.3,5.1,1.0,
214,100.353500,6.0,0.2,5.1,0.7,
215,100.353750,6.0,0.4,5.1,1.0,
216,100.354000,5.8,0.1,4.9,0.7,
217,100.354250,6.0,0.3,5.3,0.9,
218,100.354500,5.9,0.0,5.0,0.3,
219,100.354750,0.0,0.0,0.3,4.8,
220,100.355000,0.0,0.0,0.4,3.9,
221,100.355250,0.0,0.0,0.3,4.6,
222,100.355500,0.0,0.0,0.3,4.8,
223,100.355750,6.0,0.0,5.1,0.4,
224,100.356000,6.1,0.0,5.0,0.1,
225,100.356250,0.0,0.0,0.3,5.1,
226,100.356500,6.9,0.1,5.7,0.5,
227,100.356750,7.3,0.2,6.2,0.5,
228,100.357000,7.7,0.4,6.4,0.7,
229,100.357250,8.2,0.0,6.8,-0.0,
230,100.357500,0.0,0.0,0.4,2.4,
231,100.357750,0.0,0.0,0.1,1.5,
232,100.358000,0.0,0.0,0.3,1.5,
233,100.358250,8.6,0.7,7.8,0.8,
234,100.358500,8.4,0.6,7.5,0.8,
235,100.358750,8.4,0.5,7.4,0.7,
236,100.359000,8.0,0.3,6.9,0.5,
237,100.359250,7.9,0.3,6.8,0.6,
238,100.359500,7.8,0.2,6.7,0.5,
239,100.359750,7.6,0.3,6.6,0.6,
240,100.360000,7.6,0.2,6.5,0.5,
241,100.360250,7.4,0.1,6.4,0.4,
242,100.360500,7.5,0.0,6.2,0.3,
243,100.360750,7.4,0.0,6.2,0.3,
244,100.361000,7.5,0.0,6.4,0.4,
245,100.361250,7.4,0.0,6.3,0.4,
246,100.361500,7.5,0.0,6.3,0.4,
247,100.361750,7.3,0.0,6.2,0.3,
248,100.362000,7.5,0.0,6.4,0.4,
249,100.362250,7.4,0.0,6.2,0.4,
250,100.362500,7.3,0.0,6.1,0.3,
251,100.362750,7.2,0.0,6.1,0.5,
252,100.363000,7.2,0.1,6.0,0.4,
253,100.363250,7.2,0.0,6.1,0.4,
254,100.363500,7.4,0.2,6.4,0.6,
255,100.363750,7.3,0.1,6.3,0.5,
256,100.364000,7.2,0.1,6.2,0.5,
257,100.364250,7.0,0.0,6.0,0.4,
258,100.364500,7.0,0.0,6.0,0.4,
259,100.364750,7.0,0.0,6.0,0.5,
260,100.365000,6.9,0.2,5.9,0.5,
261,100.365250,6.8,0.1,5.8,0.5,
262,100.365500,6.7,0.0,5.6,0.3,
263,100.365750,6.7,0.0,5.7,0.4,
264,100.366000,6.8,0.0,5.8,0.3,
265,100.366250,6.8,0.2,5.7,0.5,
266,100.366500,6.6,0.0,5.5,-0.2,
267,100.366750,7.0,0.4,6.0,0.6,
268,100.367000,6.9,0.1,6.0,0.5,
269,100.367250,6.8,0.1,5.9,0.4,
270,100.367500,6.8,0.2,5.8,0.4,
271,100.367750,6.7,0.1,5.7,0.3,
272,100.368000,6.7,0.0,5.7,0.3,
273,100.368250,6.9,0.2,5.9,0.5,
274,100.368500,6.9,0.2,5.9,0.4,
275,100.368750,6.8,0.0,5.8,0.2,
276,100.369000,6.9,0.2,6.0,0.5,
277,100.369250,6.9,0.1,5.8,0.5,
278,100.369500,7.0,0.2,6.0,0.5,
279,100.369750,7.0,0.1,6.0,0.4,
280,100.370000,7.1,0.3,6.0,0.6,
281,100.370250,7.0,0.1,6.0,0.5,
282,100.370500,7.0,0.0,5.9,0.4,
283,100.370750,6.9,0.0,6.0,0.4,
284,100.371000,7.2,0.3,6.2,0.6,
285,100.371250,7.1,0.1,6.1,0.5,
286,100.371500,7.2,0.0,6.1,0.4,
287,100.371750,7.0,0.0,6.0,0.3,
288,100.372000,7.1,0.0,6.1,0.4,
289,100.372250,7.2,0.0,6.3,0.4,
290,100.372500,7.3,0.2,6.4,0.6,
291,100.372750,7.2,0.0,6.2,0.5,
292,100.373000,7.2,0.0,6.2,0.4,
293,100.373250,7.1,0.1,6.2,0.6,
294,100.373500,7.2,0.0,6.2,0.3,
295,100.373750,7.4,0.0,6.4,0.5,
296,100.374000,7.4,0.0,6.3,0.2,
297,100.374250,7.5,0.0,6.5,0.4,
298,100.374500,8.1,0.1,7.1,0.4,
299,100.374750,8.3,0.3,7.5,0.4,
300,100.375000,8.3,0.0,7.4,0.3,
301,100.375250,8.1,0.0,7.0,0.3,
302,100.375500,8.2,0.3,7.1,0.7,
303,100.375750,7.9,0.1,6.8,0.5,
304,100.376000,7.7,0.2,6.7,0.6,
305,100.376250,7.7,0.4,6.7,0.7,
306,100.376500,7.5,0.0,6.5,0.5,
307,100.376750,7.5,0.0,6.4,0.4,
308,100.377000,7.4,0.1,6.4,0.6,
309,100.377250,7.7,0.3,6.7,0.7,
310,100.377500,7.5,0.0,6.5,0.5,
311,100.377750,7.5,0.2,6.6,0.6,
312,100.378000,7.6,0.3,6.6,0.7,
313,100.378250,7.6,0.3,6.5,0.6,
314,100.378500,7.5,0.3,6.5,0.7,
315,100.378750,7.5,0.2,6.5,0.5,
316,100.379000,7.5,0.1,6.4,0.4,
317,100.379250,7.5,0.1,6.5,0.4,
318,100.379500,7.6,0.2,6.7,0.5,
319,100.379750,7.7,0.2,6.7,0.4,
320,100.380000,7.7,0.3,6.7,0.5,
321,100.380250,7.7,0.4,6.7,0.5,
322,100.380500,7.6,0.3,6.6,0.5,
323,100.380750,7.6,0.4,6.6,0.6,
324,100.381000,7.5,0.1,6.5,0.4,
325,100.381250,7.5,0.2,6.4,0.4,
326,100.381500,7.4,0.1,6.3,0.4,
327,100.381750,7.5,0.2,6.4,0.5,
328,100.382000,7.5,0.2,6.5,0.5,
329,100.382250,7.5,0.7,6.6,1.0,
330,100.382500,7.6,0.4,6.6,0.7,
331,100.382750,7.4,0.3,6.4,0.5,
332,100.383000,7.5,0.9,6.6,1.1,
333,100.383250,7.2,0.4,6.4,0.6,
334,100.383500,7.1,0.0,6.1,0.3,
335,100.383750,7.2,0.0,6.1,0.3,
336,100.384000,7.2,0.0,6.1,0.4,
337,100.384250,7.2,0.0,6.2,0.4,
338,100.384500,7.3,0.0,6.2,0.4,
339,100.384750,7.4,0.1,6.4,0.6,
340,100.385000,7.5,0.2,6.5,0.7,
341,100.385250,7.3,0.2,6.3,0.6,
342,100.385500,7.3,0.1,6.4,0.5,
343,100.385750,7.3,0.0,6.3,0.4,
344,100.386000,7.4,0.0,6.4,0.4,
345,100.386250,7.6,0.1,6.6,0.4,
346,100.386500,7.7,0.0,6.7,0.3,
347,100.386750,7.9,0.1,6.9,0.4,
348,100.387000,8.0,0.1,7.1,1.2,
349,100.387250,7.8,0.0,6.8,-0.2,
350,100.387500,8.1,0.1,7.2,0.3,
351,100.387750,7.9,0.2,7.1,0.3,
352,100.388000,7.7,0.3,6.8,0.4,
353,100.388250,7.4,0.5,6.8,0.7,
354,100.388500,6.7,0.3,5.9,0.2,
355,100.388750,6.3,0.2,5.6,0.2,
356,100.389000,6.0,0.8,5.4,0.8,
357,100.389250,5.6,0.1,4.9,6.1,
358,100.389500,5.5,0.1,4.7,0.2,
359,100.389750,5.3,0.6,4.7,0.5,
360,100.390000,5.1,0.3,4.3,0.4,
361,100.390250,4.8,0.0,3.9,0.2,
