Track Name,,Line name,1150114XYLUP,Report Name,Wear_right,Operator,
Starting Km,92.700,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 03:02:09

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
128,92.732000,0.8,0.0,1.6,0.2,
129,92.732250,1.2,0.0,1.7,0.6,
130,92.732500,0.8,0.0,1.5,0.3,
131,92.732750,0.7,0.0,1.7,0.4,
132,92.733000,0.5,0.0,1.7,0.4,
133,92.733250,1.4,0.0,1.6,0.4,
134,92.733500,0.7,0.0,1.7,0.4,
135,92.733750,0.5,0.0,1.7,0.2,
136,92.734000,1.1,0.0,1.6,0.1,
137,92.734250,0.7,0.0,1.8,0.1,
138,92.734500,0.9,0.0,1.8,0.3,
139,92.734750,0.9,0.0,1.8,0.3,
140,92.735000,2.2,0.0,1.8,0.2,
141,92.735250,1.3,0.0,2.1,0.4,
142,92.735500,1.9,0.3,2.5,0.8,
143,92.735750,2.3,0.0,2.2,0.4,
144,92.736000,1.7,0.0,2.2,0.3,
145,92.736250,2.0,0.4,2.5,0.9,
146,92.736500,1.0,0.0,1.9,0.3,
147,92.736750,2.1,0.0,2.0,0.4,
148,92.737000,1.5,0.1,2.0,0.6,
149,92.737250,1.4,0.0,1.6,0.4,
150,92.737500,1.9,0.0,1.4,0.4,
151,92.737750,1.8,0.5,1.7,0.9,
152,92.738000,1.8,0.0,1.2,0.3,
153,92.738250,1.8,0.0,1.3,0.5,
154,92.738500,1.1,0.0,1.3,0.4,
155,92.738750,2.1,0.0,1.2,0.4,
156,92.739000,0.8,0.0,1.1,0.4,
157,92.739250,1.6,0.0,1.2,0.5,
158,92.739500,1.4,0.0,1.2,0.5,
159,92.739750,0.8,0.0,1.1,0.3,
160,92.740000,1.6,0.0,0.9,0.4,
161,92.740250,0.5,0.0,0.8,0.3,
162,92.740500,0.7,0.0,0.7,0.4,
163,92.740750,1.2,0.0,0.6,0.3,
164,92.741000,0.4,0.0,0.8,0.3,
165,92.741250,1.6,0.0,0.8,0.3,
166,92.741500,1.8,0.0,1.0,0.3,
167,92.741750,1.2,0.0,1.3,0.4,
168,92.742000,2.1,0.0,1.2,0.3,
169,92.742250,0.9,0.3,1.6,0.7,
170,92.742500,1.2,0.0,1.6,0.4,
171,92.742750,0.9,0.0,1.5,0.4,
172,92.743000,2.1,0.3,1.8,0.7,
173,92.743250,0.9,0.0,1.4,0.2,
174,92.743500,1.8,0.0,1.5,0.2,
175,92.743750,1.9,0.0,1.7,0.4,
176,92.744000,0.6,0.0,1.7,0.2,
177,92.744250,1.6,0.0,1.5,0.3,
178,92.744500,1.0,0.0,1.5,0.2,
179,92.744750,0.9,0.0,1.9,0.6,
180,92.745000,2.2,0.2,1.8,0.8,
181,92.745250,1.1,2.0,2.6,2.2,
182,92.745500,2.6,0.1,2.1,0.5,
183,92.745750,2.0,0.5,1.9,0.9,
184,92.746000,0.9,0.4,1.9,0.9,
185,92.746250,2.0,0.4,2.2,0.8,
186,92.746500,1.9,0.2,2.0,0.7,
187,92.746750,1.6,0.0,1.7,0.0,
188,92.747000,2.0,0.0,1.8,0.1,
189,92.747250,1.2,0.0,1.8,0.2,
190,92.747500,1.1,0.0,2.0,0.3,
191,92.747750,2.4,0.0,1.7,-0.1,
192,92.748000,2.0,0.0,1.9,0.1,
193,92.748250,3.0,0.0,2.2,0.5,
194,92.748500,2.0,0.0,2.1,0.2,
195,92.748750,2.4,0.0,1.8,0.0,
196,92.749000,0.8,0.0,1.8,0.3,
197,92.749250,1.4,0.0,1.7,0.2,
198,92.749500,1.1,0.0,1.7,0.2,
199,92.749750,1.3,0.0,1.7,0.5,
200,92.750000,1.8,0.0,1.5,0.1,
201,92.750250,1.2,0.0,1.3,0.2,
202,92.750500,0.9,0.0,1.2,0.1,
203,92.750750,1.1,0.0,1.3,0.2,
204,92.751000,0.3,0.0,1.1,0.1,
205,92.751250,0.4,0.1,1.7,0.4,
206,92.751500,1.0,0.0,1.6,0.2,
207,92.751750,0.7,0.0,1.5,0.1,
208,92.752000,1.9,0.2,2.1,0.6,
209,92.752250,1.5,0.0,1.7,0.1,
210,92.752500,1.4,0.0,1.6,-0.0,
211,92.752750,1.5,0.0,1.8,0.2,
212,92.753000,1.4,0.0,1.6,-0.1,
213,92.753250,1.1,0.0,1.6,-0.1,
214,92.753500,1.7,0.0,1.6,-0.0,
215,92.753750,1.2,0.0,1.8,-0.0,
216,92.754000,1.9,0.0,1.7,-0.2,
217,92.754250,2.6,0.0,1.9,0.0,
218,92.754500,2.3,0.0,1.9,-0.1,
219,92.754750,2.8,0.0,2.1,-0.0,
220,92.755000,3.2,0.0,2.6,0.4,
221,92.755250,1.8,0.0,2.3,0.1,
222,92.755500,2.8,0.0,2.4,0.2,
223,92.755750,3.2,0.0,2.5,0.3,
224,92.756000,3.1,0.0,2.3,0.0,
225,92.756250,2.0,0.0,2.2,0.1,
226,92.756500,2.7,0.0,2.0,-0.1,
227,92.756750,2.7,0.0,1.7,0.0,
228,92.757000,1.4,0.0,1.8,-0.0,
229,92.757250,2.7,0.0,2.1,0.4,
230,92.757500,1.8,0.0,1.6,0.0,
231,92.757750,2.7,0.0,1.5,-0.0,
232,92.758000,1.3,0.0,1.5,-0.4,
233,92.758250,1.2,0.0,1.5,-0.1,
234,92.758500,1.5,0.0,1.6,-0.0,
235,92.758750,1.4,0.0,1.8,0.2,
236,92.759000,1.6,0.0,1.8,0.1,
237,92.759250,1.3,0.0,1.8,0.1,
238,92.759500,1.9,0.0,1.9,0.0,
239,92.759750,1.8,0.0,1.9,0.1,
240,92.760000,2.7,0.0,2.1,0.1,
241,92.760250,2.6,0.2,2.3,0.5,
242,92.760500,2.6,0.0,2.1,0.2,
243,92.760750,2.0,0.0,2.0,0.3,
244,92.761000,1.7,0.5,2.4,0.6,
245,92.761250,1.9,0.0,2.0,0.1,
246,92.761500,2.7,0.0,1.6,-0.5,
247,92.761750,1.8,0.0,1.9,-0.3,
248,92.762000,2.5,0.4,2.5,0.7,
249,92.762250,2.4,0.0,1.9,0.1,
250,92.762500,1.2,0.0,1.7,-0.4,
251,92.762750,0.8,0.0,0.4,-2.4,
252,92.763000,1.1,0.0,0.6,-3.3,
253,92.763250,0.8,0.0,0.6,-3.5,
254,92.763500,1.4,0.0,1.8,0.3,
255,92.763750,1.0,0.0,1.9,0.3,
256,92.764000,2.5,0.0,1.9,0.4,
257,92.764250,1.1,0.0,1.5,-0.1,
258,92.764500,2.1,0.0,1.7,0.1,
259,92.764750,1.6,0.1,2.1,0.4,
260,92.765000,1.5,0.0,1.8,0.0,
261,92.765250,1.1,0.0,1.7,0.1,
262,92.765500,1.7,0.1,2.2,0.5,
263,92.765750,1.3,0.0,2.0,0.1,
264,92.766000,1.2,0.0,1.9,0.1,
265,92.766250,2.6,0.0,2.2,0.4,
266,92.766500,1.3,0.0,1.9,0.0,
267,92.766750,1.5,0.0,1.7,-0.1,
268,92.767000,1.3,0.0,2.0,0.1,
269,92.767250,2.3,0.0,1.8,0.1,
270,92.767500,1.1,0.0,1.7,0.1,
271,92.767750,1.5,0.0,1.8,0.2,
272,92.768000,1.1,0.0,1.7,-0.1,
273,92.768250,2.3,0.0,1.7,-0.0,
274,92.768500,1.5,0.0,1.7,-0.1,
275,92.768750,1.1,0.0,1.7,-0.1,
276,92.769000,1.3,0.0,2.0,-0.0,
277,92.769250,2.0,0.0,1.9,-0.1,
278,92.769500,2.1,0.0,2.0,-0.1,
279,92.769750,1.6,0.0,2.1,-0.0,
280,92.770000,1.9,0.0,2.1,-0.0,
281,92.770250,1.5,0.0,2.2,0.2,
282,92.770500,2.5,0.0,2.1,0.2,
283,92.770750,2.1,0.0,1.9,0.0,
284,92.771000,1.2,0.0,2.0,-0.1,
285,92.771250,2.0,0.0,2.0,0.1,
286,92.771500,2.0,0.0,2.1,0.1,
287,92.771750,2.9,0.0,2.1,0.2,
288,92.772000,1.5,0.0,2.1,0.2,
289,92.772250,1.3,0.0,2.0,0.1,
290,92.772500,2.4,0.0,2.2,0.3,
291,92.772750,1.7,0.0,2.2,0.2,
292,92.773000,1.6,0.3,2.4,0.5,
293,92.773250,1.4,0.0,2.2,0.0,
294,92.773500,2.9,0.0,2.3,0.1,
295,92.773750,2.9,0.0,2.8,0.4,
296,92.774000,3.2,0.0,2.7,0.3,
297,92.774250,2.8,0.1,3.0,0.5,
298,92.774500,2.8,0.0,2.7,0.3,
299,92.774750,3.0,0.3,3.1,0.7,
300,92.775000,1.5,0.0,2.5,0.1,
301,92.775250,1.8,0.0,2.9,0.4,
302,92.775500,2.0,0.0,2.8,0.2,
303,92.775750,1.8,0.0,2.9,0.1,
304,92.776000,2.2,0.0,2.9,0.1,
305,92.776250,2.3,0.0,2.8,0.1,
