Track Name,,Line name,1150122CHLZLDN,Report Name,Wear_left,Operator,
Starting Km,100.290,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.23, Measurement Time, 02:17:46

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
1,100.289750,6.3,0.0,2.0,-2.3,
2,100.289500,5.2,0.0,1.3,-2.2,
3,100.289250,4.9,0.0,1.0,-2.3,
4,100.289000,4.3,0.0,0.6,-2.3,
5,100.288750,4.0,0.0,0.4,-2.3,
6,100.288500,3.9,0.0,0.3,-2.3,
7,100.288250,3.9,0.0,0.4,-2.1,
8,100.288000,3.7,0.0,0.1,-2.3,
9,100.287750,3.5,0.0,0.2,-2.3,
10,100.287500,3.4,0.0,0.2,-2.3,
11,100.287250,3.2,0.0,0.0,-2.3,
12,100.287000,3.0,0.0,0.0,-2.2,
13,100.286750,2.9,0.0,0.0,-2.4,
14,100.286500,2.5,0.0,0.0,-2.3,
15,100.286250,2.2,0.0,0.0,-1.9,
16,100.286000,2.0,0.0,0.0,-2.1,
17,100.285750,0.8,0.0,0.0,-0.1,
18,100.285500,0.6,0.0,0.0,-0.1,
19,100.285250,0.6,0.0,0.0,-0.1,
20,100.285000,0.5,0.0,0.0,-0.3,
21,100.284750,0.7,0.0,0.0,-0.2,
22,100.284500,0.8,0.0,0.0,-0.2,
23,100.284250,0.6,0.0,0.0,-0.4,
24,100.284000,0.7,0.0,0.0,-0.2,
25,100.283750,0.7,0.0,0.0,-0.2,
26,100.283500,0.5,0.0,0.0,-0.5,
27,100.283250,0.7,0.0,0.0,-0.2,
28,100.283000,0.7,0.0,0.0,-0.2,
29,100.282750,0.7,0.0,0.0,-0.3,
30,100.282500,0.8,0.0,0.0,-0.1,
31,100.282250,0.7,0.0,0.0,-0.2,
32,100.282000,0.7,0.0,0.0,-0.1,
33,100.281750,0.8,0.0,0.0,0.0,
34,100.281500,0.8,0.0,0.0,-0.1,
35,100.281250,0.8,0.0,0.0,-0.1,
36,100.281000,0.9,0.0,0.0,0.2,
37,100.280750,0.8,0.0,0.0,0.1,
38,100.280500,0.8,0.0,0.0,0.1,
39,100.280250,0.8,0.0,0.0,0.2,
40,100.280000,0.8,0.0,0.0,0.1,
41,100.279750,0.9,0.0,0.0,0.2,
42,100.279500,0.8,0.0,0.0,0.2,
43,100.279250,0.8,0.0,0.0,0.2,
44,100.279000,0.7,0.0,0.0,-0.1,
45,100.278750,0.7,0.0,0.0,-0.1,
46,100.278500,0.6,0.0,0.0,-0.1,
47,100.278250,0.5,0.0,0.0,-0.2,
48,100.278000,0.6,0.0,0.0,-0.0,
49,100.277750,0.5,0.0,0.0,-0.1,
50,100.277500,0.5,0.0,0.0,-0.3,
51,100.277250,0.6,0.0,0.0,-0.3,
52,100.277000,0.9,0.0,0.0,0.5,
53,100.276750,0.7,0.0,0.0,0.1,
54,100.276500,0.6,0.0,0.0,-0.1,
55,100.276250,0.7,0.0,0.0,0.0,
56,100.276000,0.7,0.0,0.0,0.0,
57,100.275750,0.8,0.0,0.0,0.1,
58,100.275500,0.8,0.0,0.0,0.2,
59,100.275250,0.9,0.0,0.0,0.3,
60,100.275000,0.8,0.0,0.0,0.1,
61,100.274750,0.7,0.0,0.0,0.1,
62,100.274500,0.9,0.0,0.0,0.2,
63,100.274250,0.8,0.0,0.0,0.1,
64,100.274000,0.7,0.0,0.0,0.1,
65,100.273750,0.6,0.0,0.0,-0.0,
66,100.273500,0.7,0.0,0.0,0.1,
67,100.273250,0.8,0.0,0.0,0.0,
68,100.273000,0.9,0.0,0.0,0.0,
69,100.272750,0.9,0.0,0.0,0.1,
70,100.272500,0.9,0.0,0.0,-0.0,
71,100.272250,0.7,0.0,0.0,-0.1,
72,100.272000,0.8,0.0,0.0,0.0,
73,100.271750,0.6,0.0,0.0,-0.2,
74,100.271500,0.5,0.0,0.0,-0.3,
75,100.271250,0.8,0.0,0.0,0.1,
76,100.271000,0.9,0.0,0.0,0.0,
77,100.270750,0.6,0.0,0.0,-0.2,
78,100.270500,0.7,0.0,0.0,-0.0,
79,100.270250,0.8,0.0,0.0,-0.1,
80,100.270000,0.9,0.0,0.0,0.1,
81,100.269750,0.8,0.0,0.0,0.1,
82,100.269500,0.8,0.0,0.0,-0.0,
83,100.269250,0.8,0.0,0.0,0.1,
84,100.269000,0.9,0.0,0.0,0.1,
85,100.268750,1.0,0.0,0.0,0.2,
86,100.268500,1.1,0.0,0.0,0.2,
87,100.268250,0.9,0.0,0.0,0.1,
88,100.268000,0.9,0.0,0.0,-0.0,
89,100.267750,1.0,0.0,0.0,0.0,
90,100.267500,1.0,0.0,0.0,0.2,
91,100.267250,0.9,0.0,0.0,0.0,
92,100.267000,0.9,0.0,0.0,-0.1,
93,100.266750,1.0,0.0,0.0,-0.2,
94,100.266500,1.1,0.0,0.0,-0.1,
95,100.266250,1.2,0.0,0.0,-0.2,
96,100.266000,1.2,0.0,0.0,-0.1,
97,100.265750,1.1,0.0,0.0,-0.2,
98,100.265500,1.1,0.0,0.0,-0.3,
99,100.265250,1.2,0.0,0.0,-0.1,
100,100.265000,1.0,0.0,0.0,-0.4,
101,100.264750,0.9,0.0,0.0,-0.6,
102,100.264500,0.7,0.0,0.0,-0.5,
103,100.264250,0.9,0.0,0.0,-0.4,
104,100.264000,0.8,0.0,0.0,-0.5,
105,100.263750,0.8,0.0,0.0,-0.5,
106,100.263500,0.8,0.0,0.0,-0.5,
107,100.263250,0.8,0.0,0.0,-0.5,
108,100.263000,1.0,0.0,0.0,-0.3,
109,100.262750,0.8,0.0,0.0,-0.4,
110,100.262500,0.7,0.0,0.0,-0.5,
111,100.262250,0.8,0.0,0.0,-0.5,
112,100.262000,0.9,0.0,0.0,-0.4,
113,100.261750,0.8,0.0,0.0,-0.5,
114,100.261500,0.9,0.0,0.0,-0.3,
115,100.261250,0.9,0.0,0.0,-0.4,
116,100.261000,0.9,0.0,0.0,-0.4,
117,100.260750,0.9,0.0,0.0,-0.5,
118,100.260500,0.9,0.0,0.0,-0.6,
119,100.260250,1.0,0.0,0.0,-0.6,
120,100.260000,1.1,0.0,0.0,-0.3,
121,100.259750,1.0,0.0,0.0,-0.4,
122,100.259500,0.9,0.0,0.0,-0.3,
123,100.259250,1.2,0.0,0.0,-0.2,
124,100.259000,1.6,0.0,0.0,0.3,
125,100.258750,1.4,0.0,0.0,0.3,
126,100.258500,1.3,0.0,0.0,-0.1,
127,100.258250,1.4,0.0,0.0,-0.2,
128,100.258000,1.2,0.0,0.0,-0.4,
129,100.257750,1.1,0.0,0.0,-0.6,
130,100.257500,1.2,0.0,0.0,-0.6,
131,100.257250,1.1,0.0,0.0,-0.7,
132,100.257000,1.4,0.0,0.0,-0.5,
133,100.256750,1.4,0.0,0.0,-0.4,
134,100.256500,1.3,0.0,0.0,-0.6,
135,100.256250,1.4,0.0,0.0,-0.6,
136,100.256000,1.5,0.0,0.0,-0.4,
137,100.255750,1.3,0.0,0.0,-0.6,
138,100.255500,1.5,0.0,0.0,-0.4,
139,100.255250,1.4,0.0,0.0,-0.5,
140,100.255000,1.3,0.0,0.0,-0.6,
141,100.254750,1.4,0.0,0.0,-0.5,
142,100.254500,1.4,0.0,0.0,-0.5,
143,100.254250,1.2,0.0,0.0,-0.6,
144,100.254000,1.1,0.0,0.0,-0.5,
145,100.253750,1.3,0.0,0.0,-0.4,
146,100.253500,1.1,0.0,0.0,-0.6,
147,100.253250,1.3,0.0,0.0,-0.4,
148,100.253000,1.1,0.0,0.0,-0.5,
149,100.252750,1.0,0.0,0.0,-0.7,
150,100.252500,1.3,0.0,0.0,-0.4,
151,100.252250,1.3,0.0,0.0,-0.4,
152,100.252000,1.1,0.0,0.0,-0.7,
153,100.251750,1.1,0.0,0.0,-0.6,
154,100.251500,1.3,0.0,0.0,-0.3,
155,100.251250,1.0,0.0,0.0,-0.6,
156,100.251000,1.0,0.0,0.0,-0.6,
157,100.250750,1.1,0.0,0.0,-0.4,
158,100.250500,1.0,0.0,0.0,-0.6,
159,100.250250,1.1,0.0,0.0,-0.5,
160,100.250000,1.1,0.0,0.0,-0.5,
161,100.249750,1.0,0.0,0.0,-0.5,
162,100.249500,1.0,0.0,0.0,-0.5,
163,100.249250,1.0,0.0,0.0,-0.6,
164,100.249000,0.9,0.0,0.0,-0.7,
165,100.248750,1.1,0.0,0.0,-0.5,
166,100.248500,1.3,0.0,0.0,-0.3,
167,100.248250,1.2,0.0,0.0,-0.4,
168,100.248000,1.2,0.0,0.0,-0.4,
169,100.247750,1.3,0.0,0.0,-0.3,
170,100.247500,1.2,0.0,0.0,-0.3,
171,100.247250,1.2,0.0,0.0,-0.3,
172,100.247000,1.2,0.0,0.0,-0.2,
173,100.246750,1.2,0.0,0.0,-0.3,
174,100.246500,1.3,0.0,0.0,-0.2,
175,100.246250,1.2,0.0,0.0,-0.3,
176,100.246000,1.3,0.0,0.0,-0.2,
177,100.245750,1.2,0.0,0.0,-0.2,
178,100.245500,1.1,0.0,0.0,-0.3,
179,100.245250,1.2,0.0,0.0,-0.3,
180,100.245000,1.3,0.0,0.0,-0.3,
181,100.244750,1.2,0.0,0.0,-0.4,
182,100.244500,1.1,0.0,0.0,-0.5,
183,100.244250,1.1,0.0,0.0,-0.4,
184,100.244000,1.2,0.0,0.0,-0.3,
185,100.243750,1.2,0.0,0.0,-0.3,
186,100.243500,1.2,0.0,0.0,-0.3,
187,100.243250,1.4,0.0,0.0,-0.2,
188,100.243000,1.3,0.0,0.0,-0.2,
189,100.242750,1.3,0.0,0.0,-0.3,
190,100.242500,1.3,0.0,0.0,-0.4,
191,100.242250,1.3,0.0,0.0,-0.4,
192,100.242000,1.3,0.0,0.0,-0.3,
193,100.241750,1.3,0.0,0.0,-0.3,
194,100.241500,1.3,0.0,0.0,-0.3,
195,100.241250,1.9,0.0,0.0,-0.4,
196,100.241000,1.8,0.0,0.0,0.3,
197,100.240750,1.2,0.0,0.0,0.1,
198,100.240500,1.2,0.0,0.0,0.3,
199,100.240250,1.3,0.0,0.0,0.2,
200,100.240000,1.2,0.0,0.0,0.3,
201,100.239750,1.2,0.0,0.0,0.3,
202,100.239500,1.0,0.0,0.0,0.2,
203,100.239250,0.9,0.0,0.0,-0.1,
204,100.239000,1.0,0.0,0.0,0.0,
205,100.238750,1.2,0.0,0.0,0.3,
206,100.238500,1.1,0.0,0.0,0.1,
207,100.238250,1.0,0.0,0.0,0.0,
208,100.238000,1.2,0.0,0.0,0.0,
209,100.237750,1.0,0.0,0.0,-0.2,
210,100.237500,1.2,0.0,0.0,0.1,
211,100.237250,1.2,0.0,0.0,0.1,
212,100.237000,1.3,0.0,0.0,0.3,
213,100.236750,1.0,0.0,0.0,0.0,
214,100.236500,1.2,0.0,0.0,0.2,
215,100.236250,1.1,0.0,0.0,0.0,
216,100.236000,1.3,0.0,0.0,0.2,
217,100.235750,1.2,0.0,0.0,0.0,
218,100.235500,1.2,0.0,0.0,0.1,
219,100.235250,1.1,0.0,0.0,0.1,
220,100.235000,1.3,0.0,0.0,0.2,
221,100.234750,1.1,0.0,0.0,0.1,
222,100.234500,1.1,0.0,0.0,0.3,
223,100.234250,1.1,0.0,0.0,0.3,
224,100.234000,1.1,0.0,0.0,0.3,
225,100.233750,1.1,0.0,0.0,0.3,
226,100.233500,1.1,0.0,0.0,0.3,
227,100.233250,1.0,0.0,0.0,0.2,
228,100.233000,1.1,0.0,0.0,0.3,
229,100.232750,1.1,0.0,0.0,0.3,
230,100.232500,1.1,0.0,0.0,0.2,
231,100.232250,1.1,0.0,0.0,0.2,
232,100.232000,1.3,0.0,0.0,0.3,
233,100.231750,1.1,0.0,0.0,0.1,
234,100.231500,1.2,0.0,0.0,0.3,
235,100.231250,1.1,0.0,0.0,0.3,
236,100.231000,1.0,0.0,0.0,0.2,
237,100.230750,1.0,0.0,0.0,0.2,
238,100.230500,1.1,0.0,0.0,0.4,
239,100.230250,1.0,0.0,0.0,0.3,
240,100.230000,1.1,0.0,0.0,0.3,
241,100.229750,1.2,0.0,0.0,0.2,
242,100.229500,1.7,0.9,0.8,1.4,
243,100.229250,1.3,0.1,0.1,0.7,
244,100.229000,1.2,0.0,0.0,0.5,
245,100.228750,1.3,0.3,0.1,0.8,
246,100.228500,1.0,0.0,0.0,0.4,
247,100.228250,1.0,0.0,0.0,0.4,
248,100.228000,1.0,0.0,0.0,0.4,
249,100.227750,1.1,0.0,0.0,0.4,
250,100.227500,1.0,0.0,0.0,0.4,
251,100.227250,1.0,0.0,0.0,0.3,
252,100.227000,1.1,0.0,0.0,0.4,
253,100.226750,1.2,0.0,0.0,0.3,
254,100.226500,1.1,0.0,0.0,0.3,
255,100.226250,1.2,0.0,0.0,0.3,
256,100.226000,1.2,0.0,0.0,0.3,
257,100.225750,1.2,0.0,0.0,0.3,
258,100.225500,1.3,0.0,0.0,0.4,
259,100.225250,1.3,0.0,0.0,0.4,
260,100.225000,1.2,0.0,0.0,0.2,
261,100.224750,1.3,0.0,0.0,0.4,
262,100.224500,1.4,0.0,0.0,0.4,
263,100.224250,1.4,0.1,0.0,0.7,
264,100.224000,1.3,0.0,0.0,0.3,
265,100.223750,1.3,0.0,0.0,0.5,
266,100.223500,1.3,0.0,0.0,0.5,
267,100.223250,1.4,0.0,0.0,0.6,
268,100.223000,1.3,0.0,0.0,0.5,
269,100.222750,1.3,0.0,0.0,0.4,
270,100.222500,1.2,0.0,0.0,0.3,
271,100.222250,1.3,0.0,0.0,0.5,
272,100.222000,1.2,0.0,0.0,0.5,
273,100.221750,1.2,0.0,0.0,0.5,
274,100.221500,1.2,0.0,0.0,0.5,
275,100.221250,1.2,0.0,0.0,0.5,
276,100.221000,1.3,0.0,0.0,0.5,
277,100.220750,1.3,0.0,0.0,0.4,
278,100.220500,1.5,0.0,0.0,0.9,
279,100.220250,1.3,0.0,0.0,0.0,
280,100.220000,1.2,0.0,0.0,-0.3,
281,100.219750,1.2,0.0,0.0,-0.0,
282,100.219500,1.0,0.0,0.0,-0.4,
